id;pikk_mudel;kytus;kaigukast;alates;kuni
30276;"RAV4 1.8 16v VVT-i Linea Terra 2WD";B;H5;2003;2005
30261;"RAV4 1.8 16v VVT-i Linea Luna 2WD";B;H5;2003;2006
30267;"RAV4 2.0 16v VVT-i Linea Luna 4WD";B;H5;2003;2006
30267;"RAV4 2.0 16v VVT-i Linea Luna 4WD";B;H5;2003;2006
30266;"RAV4 2.0 16v VVT-i Linea Luna 4WD";B;A4;2003;2004
30265;"RAV4 2.0 16v VVT-i Linea Sol 4WD";B;H5;2003;2006
30264;"RAV4 2.0 16v VVT-i Linea Sol 4WD";B;A4;2003;2005
30264;"RAV4 2.0 16v VVT-i Linea Sol 4WD";B;A4;2003;2005
30273;"RAV4 2.0 D4-D Linea Luna 4WD";D;H5;2003;2005
30272;"RAV4 2.0 D4-D Linea Sol 4WD";D;H5;2003;2005
