id;pikk_mudel;kytus;kaigukast;alates;kuni
72276;"RAV4 2.0 VVT-i 4WD Aspiration";B;H6;2013;heden
72279;"RAV4 2.0 VVT-i 4WD Dynamic";B;H6;2013;heden
72280;"RAV4 2.0 VVT-i 4WD Dynamic";B;A1;2013;heden
72280;"RAV4 2.0 VVT-i 4WD Dynamic";B;A1;2013;heden
75907;"RAV4 2.0 VVT-i 4WD Style";B;H6;2014;heden
75908;"RAV4 2.0 VVT-i 4WD Style";B;A1;2014;heden
72282;"RAV4 2.0 VVT-i 4WD Executive Business";B;H6;2013;heden
72282;"RAV4 2.0 VVT-i 4WD Executive Business";B;H6;2013;heden
72281;"RAV4 2.0 VVT-i 4WD Executive Business";B;A1;2013;heden
72283;"RAV4 2.0 D-4D-F 2WD Aspiration";D;H6;2013;heden
72284;"RAV4 2.0 D-4D-F 2WD Dynamic";D;H6;2013;heden
72284;"RAV4 2.0 D-4D-F 2WD Dynamic";D;H6;2013;heden
72285;"RAV4 2.0 D-4D-F 2WD Executive Business";D;H6;2013;heden
75910;"RAV4 2.0 D-4D-F 4WD Dynamic";D;H6;2014;heden
75912;"RAV4 2.0 D-4D-F 4WD Style";D;H6;2014;heden
75912;"RAV4 2.0 D-4D-F 4WD Style";D;H6;2014;heden
75911;"RAV4 2.0 D-4D-F 4WD Executive Business";D;H6;2014;heden
72286;"RAV4 2.2 D-4D-F 4WD Dynamic";D;H6;2013;heden
75909;"RAV4 2.2 D-4D-F 4WD Style";D;H6;2014;heden
75909;"RAV4 2.2 D-4D-F 4WD Style";D;H6;2014;heden
72287;"RAV4 2.2 D-4D-F 4WD Executive Business";D;H6;2013;heden
