id;pikk_mudel;kytus;kaigukast;alates;kuni
52363;"Verso 1.6 16v VVT-i Comfort";B;H6;2009;2013
52371;"Verso 1.6 16v VVT-i Aspiration";B;H6;2009;2010
61485;"Verso 1.6 16v VVT-i Aspiration";B;H6;2011;2013
61485;"Verso 1.6 16v VVT-i Aspiration";B;H6;2011;2013
56077;"Verso 1.6 16v VVT-i Business";B;H6;2010;2013
52373;"Verso 1.6 16v VVT-i Dynamic";B;H6;2009;2010
52377;"Verso 1.6 16v VVT-i Panoramic";B;H6;2009;2010
52377;"Verso 1.6 16v VVT-i Panoramic";B;H6;2009;2010
52366;"Verso 1.8 16v VVT-i Aspiration";B;H6;2009;2010
52367;"Verso 1.8 16v VVT-i Aspiration";B;A1;2009;2010
61487;"Verso 1.8 16v VVT-i Aspiration";B;H6;2011;2013
61487;"Verso 1.8 16v VVT-i Aspiration";B;H6;2011;2013
61488;"Verso 1.8 16v VVT-i Aspiration";B;A1;2011;2013
56078;"Verso 1.8 16v VVT-i Business";B;H6;2010;2013
56079;"Verso 1.8 16v VVT-i Business";B;A1;2010;2013
56079;"Verso 1.8 16v VVT-i Business";B;A1;2010;2013
69832;"Verso 1.8 16v VVT-i Business Titanium";B;H6;2012;2013
52375;"Verso 1.8 16v VVT-i Dynamic";B;H6;2009;2010
52374;"Verso 1.8 16v VVT-i Dynamic";B;A1;2009;2010
52374;"Verso 1.8 16v VVT-i Dynamic";B;A1;2009;2010
56080;"Verso 1.8 16v VVT-i Dynamic Business";B;H6;2010;2013
56081;"Verso 1.8 16v VVT-i Dynamic Business";B;A1;2010;2013
52379;"Verso 1.8 16v VVT-i Panoramic";B;H6;2009;2010
52379;"Verso 1.8 16v VVT-i Panoramic";B;H6;2009;2010
52378;"Verso 1.8 16v VVT-i Panoramic";B;A1;2009;2010
52384;"Verso 1.8 16v VVT-i Executive Business";B;H6;2009;2010
52383;"Verso 1.8 16v VVT-i Executive Business";B;A1;2009;2010
52383;"Verso 1.8 16v VVT-i Executive Business";B;A1;2009;2010
52368;"Verso 2.0 D-4D-F Comfort";D;H6;2009;2013
52372;"Verso 2.0 D-4D-F Aspiration";D;H6;2009;2010
61486;"Verso 2.0 D-4D-F Aspiration";D;H6;2011;2013
61486;"Verso 2.0 D-4D-F Aspiration";D;H6;2011;2013
56082;"Verso 2.0 D-4D-F Business";D;H6;2010;2013
52376;"Verso 2.0 D-4D-F Dynamic";D;H6;2009;2010
56083;"Verso 2.0 D-4D-F Dynamic Business";D;H6;2010;2013
56083;"Verso 2.0 D-4D-F Dynamic Business";D;H6;2010;2013
52380;"Verso 2.0 D-4D-F Panoramic";D;H6;2009;2010
56084;"Verso 2.2 D-4D-F D-CAT Business";D;A6;2010;2012
52369;"Verso 2.2 D-4D-F D-CAT Dynamic";D;A6;2009;2010
52369;"Verso 2.2 D-4D-F D-CAT Dynamic";D;A6;2009;2010
56085;"Verso 2.2 D-4D-F D-CAT Dynamic Business";D;A6;2010;2012
52381;"Verso 2.2 D-4D-F D-CAT Panoramic";D;A6;2009;2010
52385;"Verso 2.2 D-4D-F D-CAT Executive Business";D;A6;2009;2010
52385;"Verso 2.2 D-4D-F D-CAT Executive Business";D;A6;2009;2010
56086;"Verso 2.2 D-4D-F D-CAT 177 Business";D;H6;2010;2012
52370;"Verso 2.2 D-4D-F D-CAT 177 Dynamic";D;H6;2009;2010
56087;"Verso 2.2 D-4D-F D-CAT 177 Dynamic Business";D;H6;2010;2012
56087;"Verso 2.2 D-4D-F D-CAT 177 Dynamic Business";D;H6;2010;2012
52382;"Verso 2.2 D-4D-F D-CAT 177 Panoramic";D;H6;2009;2010
52386;"Verso 2.2 D-4D-F D-CAT 177 Executive Business";D;H6;2009;2010
