id;pikk_mudel;kytus;kaigukast;alates;kuni
19689;"Yaris Verso 1.3 16v VVT-i Linea Luna E";B;H5;1999;2002
19690;"Yaris Verso 1.3 16v VVT-i Linea Luna E";B;A4;1999;2002
19691;"Yaris Verso 1.3 16v VVT-i Linea Luna";B;H5;1999;2003
19691;"Yaris Verso 1.3 16v VVT-i Linea Luna";B;H5;1999;2003
19692;"Yaris Verso 1.3 16v VVT-i Linea Luna";B;A4;1999;2003
19693;"Yaris Verso 1.3 16v VVT-i Linea Sol";B;H5;1999;2003
19694;"Yaris Verso 1.3 16v VVT-i Linea Sol";B;A4;1999;2003
19694;"Yaris Verso 1.3 16v VVT-i Linea Sol";B;A4;1999;2003
22206;"Yaris Verso 1.5 16v VVT-i Linea Luna";B;H5;2000;2003
22207;"Yaris Verso 1.5 16v VVT-i Linea Sol";B;H5;2000;2003
25498;"Yaris Verso 1.4 D4-D Linea Luna E";D;H5;2002;2003
25498;"Yaris Verso 1.4 D4-D Linea Luna E";D;H5;2002;2003
25497;"Yaris Verso 1.4 D4-D Linea Luna";D;H5;2002;2003
25496;"Yaris Verso 1.4 D4-D Linea Sol";D;H5;2002;2003
