id;pikk_mudel;kytus;kaigukast;alates;kuni
27963;"Yaris 1.0 16v VVT-i Linea Terra";B;H5;2003;2005
30902;"Yaris 1.0 16v VVT-i Idols";B;H5;2004;2005
27971;"Yaris 1.0 16v VVT-i Linea Luna";B;H5;2003;2004
27971;"Yaris 1.0 16v VVT-i Linea Luna";B;H5;2003;2004
27970;"Yaris 1.0 16v VVT-i Linea Sol";B;H5;2003;2005
27977;"Yaris 1.3 16v VVT-i Linea Terra";B;H5;2003;2005
30903;"Yaris 1.3 16v VVT-i Idols";B;H5;2004;2005
30903;"Yaris 1.3 16v VVT-i Idols";B;H5;2004;2005
27976;"Yaris 1.3 16v VVT-i Linea Luna";B;H5;2003;2004
27975;"Yaris 1.3 16v VVT-i Linea Sol";B;H5;2003;2005
27981;"Yaris 1.3 16v VVT-i Linea Sol";B;A4;2003;2005
27981;"Yaris 1.3 16v VVT-i Linea Sol";B;A4;2003;2005
27980;"Yaris 1.5 16v VVT-i T Sport";B;H5;2003;2005
27987;"Yaris 1.4 D4-D Linea Terra";D;H5;2003;2005
30904;"Yaris 1.4 D4-D Idols";D;H5;2004;2005
30904;"Yaris 1.4 D4-D Idols";D;H5;2004;2005
27986;"Yaris 1.4 D4-D Linea Luna";D;H5;2003;2004
27985;"Yaris 1.4 D4-D Linea Sol";D;H5;2003;2005
