id;pikk_mudel;mudeli_tyyp;alates;kuni;id_2;mudel;id_3
1851;Golf;"3-deurs hatchback";1974;1981;720;Golf;61899
1853;Golf;"5-deurs hatchback";1974;1981;720;Golf;61902
1859;Golf;"3-deurs hatchback";1981;1983;720;Golf;0
1861;Golf;"5-deurs hatchback";1981;1983;720;Golf;0
1867;Golf;"5-deurs hatchback";1983;1986;720;Golf;61903
1865;Golf;"3-deurs hatchback";1983;1986;720;Golf;61904
1871;Golf;"3-deurs hatchback";1986;1992;720;Golf;19167
1873;Golf;"5-deurs hatchback";1986;1992;720;Golf;19170
1875;Golf;"3-deurs hatchback";1991;1997;720;Golf;20035
1877;Golf;"5-deurs hatchback";1992;1997;720;Golf;20266
1883;Golf;"3-deurs hatchback";1997;2003;720;Golf;22014
1885;Golf;"5-deurs hatchback";1997;2003;720;Golf;22007
1889;Golf;"3-deurs hatchback";1998;2003;720;Golf;21999
1895;Golf;"5-deurs hatchback";2003;2008;720;Golf;26804
1893;Golf;"3-deurs hatchback";2003;2008;720;Golf;26769
3041;Golf;"5-deurs hatchback";2008;2012;720;Golf;59220
3040;Golf;"3-deurs hatchback";2008;2012;720;Golf;59233
3886;Golf;"3-deurs hatchback";2012;heden;720;Golf;136432
3887;Golf;"5-deurs hatchback";2012;heden;720;Golf;136415
1855;"Golf Cabriolet";"2-deurs cabriolet";1979;1981;720;Golf;61913
1857;"Golf Cabriolet";"2-deurs cabriolet";1981;1983;720;Golf;61913
1863;"Golf Cabriolet";"2-deurs cabriolet";1983;1986;720;Golf;61916
1869;"Golf Cabriolet";"2-deurs cabriolet";1986;1993;720;Golf;19175
1879;"Golf Cabriolet";"2-deurs cabriolet";1993;1998;720;Golf;20549
1887;"Golf Cabriolet";"2-deurs cabriolet";1998;2002;720;Golf;22626
3524;"Golf Cabriolet";"2-deurs cabriolet";2011;heden;720;Golf;101790
1881;"Golf Variant";"5-deurs stationwagon";1993;1999;720;Golf;20552
1891;"Golf Variant";"5-deurs stationwagon";1999;2006;720;Golf;23225
1897;"Golf Variant";"5-deurs stationwagon";2007;2009;720;Golf;40548
3174;"Golf Variant";"5-deurs stationwagon";2009;2013;720;Golf;81219
3984;"Golf Variant";"5-deurs stationwagon";2013;heden;720;Golf;144183
3804;"Golf Variant Van";"5-deurs bestelwagen";2009;heden;720;Golf;126590
