id;pikk_mudel;mudeli_tyyp;alates;kuni;id_2;mudel;id_3
1903;Jetta;"2-deurs sedan";1980;1981;722;Jetta;61940
1905;Jetta;"4-deurs sedan";1980;1981;722;Jetta;38298
1907;Jetta;"2-deurs sedan";1981;1983;722;Jetta;61940
1909;Jetta;"4-deurs sedan";1981;1983;722;Jetta;38298
1913;Jetta;"4-deurs sedan";1984;1986;722;Jetta;61945
1911;Jetta;"2-deurs sedan";1984;1986;722;Jetta;0
1915;Jetta;"2-deurs sedan";1986;1991;722;Jetta;19163
1917;Jetta;"4-deurs sedan";1986;1992;722;Jetta;19172
1919;Jetta;"4-deurs sedan";2005;2011;722;Jetta;29093
3489;Jetta;"4-deurs sedan";2011;heden;722;Jetta;99095
