id;pikk_mudel;mudeli_tyyp;alates;kuni;id_2;mudel;id_3
3685;"Transporter Bestelwagen";"4-deurs bestelwagen";2010;heden;941;Transporter;0
3712;"Transporter Bestelwagen";"4-deurs bestelwagen";2010;heden;941;Transporter;126385
3713;"Transporter Dubbele Cabine";"4-deurs bestelwagen";2010;heden;941;Transporter;126385
3686;"Transporter Dubbele Cabine";"4-deurs bestelwagen";2010;heden;941;Transporter;0
3687;"Transporter Kombi";"4-deurs personenbus";2010;heden;941;Transporter;0
3714;"Transporter Kombi";"4-deurs bus";2010;heden;941;Transporter;126361
3661;"Transporter L1H1 Bestelwagen";"4-deurs bestelwagen";2010;heden;941;Transporter;0
3662;"Transporter L1H1 Dubbele Cabin";"4-deurs bestelwagen";2010;heden;941;Transporter;0
3663;"Transporter L1H1 Kombi";"4-deurs personenbus";2010;heden;941;Transporter;0
3664;"Transporter L2H1 Bestelwagen";"4-deurs bestelwagen";2010;heden;941;Transporter;0
3665;"Transporter L2H1 Dubbele Cabin";"4-deurs bestelwagen";2010;heden;941;Transporter;0
3666;"Transporter L2H1 Kombi";"4-deurs personenbus";2010;heden;941;Transporter;0
