id;pikk_mudel;kytus;kaigukast;alates;kuni
58767;"Caddy Combi 1.2 TSI 85pk Easyline";B;H5;2010;heden
58769;"Caddy Combi 1.2 TSI 85pk Trendline";B;H5;2010;heden
58770;"Caddy Combi 1.2 TSI 105pk Trendline";B;H5;2010;2012
58770;"Caddy Combi 1.2 TSI 105pk Trendline";B;H5;2010;2012
58771;"Caddy Combi 1.2 TSI 105pk Comfortline";B;H5;2010;2012
61817;"Caddy Combi 1.2 TSI 105pk Highline";B;H5;2011;2012
63942;"Caddy Combi 1.2 TSI 105pk BMT Trendline";B;H5;2012;heden
63942;"Caddy Combi 1.2 TSI 105pk BMT Trendline";B;H5;2012;heden
63943;"Caddy Combi 1.2 TSI 105pk BMT Comfortline";B;H5;2012;heden
63944;"Caddy Combi 1.2 TSI 105pk BMT Highline";B;H5;2012;heden
58776;"Caddy Combi 2.0 EcoFuel Trendline";B;H5;2010;heden
58776;"Caddy Combi 2.0 EcoFuel Trendline";B;H5;2010;heden
58775;"Caddy Combi 2.0 EcoFuel Comfortline";B;H5;2010;heden
61818;"Caddy Combi 2.0 EcoFuel Highline";B;H5;2011;heden
58779;"Caddy Combi 1.6 TDI 75pk BMT Trendline";D;H5;2010;heden
58779;"Caddy Combi 1.6 TDI 75pk BMT Trendline";D;H5;2010;heden
58780;"Caddy Combi 1.6 TDI 102pk BMT Trendline";D;H5;2010;heden
63935;"Caddy Combi 1.6 TDI 102pk BMT Trendline";D;A7;2012;heden
58783;"Caddy Combi 1.6 TDI 102pk BMT Comfortline";D;H5;2010;heden
58783;"Caddy Combi 1.6 TDI 102pk BMT Comfortline";D;H5;2010;heden
63936;"Caddy Combi 1.6 TDI 102pk BMT Comfortline";D;A7;2012;heden
61807;"Caddy Combi 1.6 TDI 102pk BMT Highline";D;H5;2011;heden
63937;"Caddy Combi 1.6 TDI 102pk BMT Highline";D;A7;2012;heden
63937;"Caddy Combi 1.6 TDI 102pk BMT Highline";D;A7;2012;heden
58781;"Caddy Combi 1.6 TDI 102pk Trendline";D;A6;2010;2012
58782;"Caddy Combi 1.6 TDI 102pk Comfortline";D;A6;2010;2012
61808;"Caddy Combi 1.6 TDI 102pk Highline";D;A6;2011;2012
61808;"Caddy Combi 1.6 TDI 102pk Highline";D;A6;2011;2012
58784;"Caddy Combi 2.0 TDI 110pk 4Motion Comfortline";D;H6;2010;heden
61809;"Caddy Combi 2.0 TDI 110pk 4Motion Highline";D;H6;2011;heden
58786;"Caddy Combi 2.0 TDI 140pk Comfortline";D;H6;2010;2012
58786;"Caddy Combi 2.0 TDI 140pk Comfortline";D;H6;2010;2012
58785;"Caddy Combi 2.0 TDI 140pk Comfortline";D;A6;2010;2012
61810;"Caddy Combi 2.0 TDI 140pk Highline";D;H6;2011;2012
61811;"Caddy Combi 2.0 TDI 140pk Highline";D;A6;2011;2012
61811;"Caddy Combi 2.0 TDI 140pk Highline";D;A6;2011;2012
63938;"Caddy Combi 2.0 TDI 140pk BMT Comfortline";D;H6;2012;heden
63939;"Caddy Combi 2.0 TDI 140pk BMT Comfortline";D;A6;2012;heden
63940;"Caddy Combi 2.0 TDI 140pk BMT Highline";D;H6;2012;heden
63940;"Caddy Combi 2.0 TDI 140pk BMT Highline";D;H6;2012;heden
63941;"Caddy Combi 2.0 TDI 140pk BMT Highline";D;A6;2012;heden
58773;"Caddy Combi Maxi 1.2 TSI 105pk Trendline";B;H5;2010;2012
58774;"Caddy Combi Maxi 1.2 TSI 105pk Comfortline";B;H5;2010;2012
58774;"Caddy Combi Maxi 1.2 TSI 105pk Comfortline";B;H5;2010;2012
61819;"Caddy Combi Maxi 1.2 TSI 105pk Highline";B;H5;2011;2012
63945;"Caddy Combi Maxi 1.2 TSI 105pk BMT Trendline";B;H5;2012;heden
63946;"Caddy Combi Maxi 1.2 TSI 105pk BMT Comfortline";B;H5;2012;heden
63946;"Caddy Combi Maxi 1.2 TSI 105pk BMT Comfortline";B;H5;2012;heden
63947;"Caddy Combi Maxi 1.2 TSI 105pk BMT Highline";B;H5;2012;heden
