id;pikk_mudel;kytus;kaigukast;alates;kuni
57478;"CrossGolf 1.2 TSI 105pk";B;H6;2010;2012
57482;"CrossGolf 1.4 TSI 122pk";B;H6;2010;2012
57481;"CrossGolf 1.4 TSI 122pk";B;A7;2010;heden
57481;"CrossGolf 1.4 TSI 122pk";B;A7;2010;heden
57480;"CrossGolf 1.4 TSI 160pk";B;H6;2010;2012
57479;"CrossGolf 1.4 TSI 160pk";B;A7;2010;2013
59622;"CrossGolf 1.6 TDI 105pk";D;H5;2010;2012
59622;"CrossGolf 1.6 TDI 105pk";D;H5;2010;2012
59623;"CrossGolf 1.6 TDI 105pk";D;A7;2010;2012
57484;"CrossGolf 2.0 TDI 140pk";D;H6;2010;2012
57483;"CrossGolf 2.0 TDI 140pk";D;A6;2010;2012
57483;"CrossGolf 2.0 TDI 140pk";D;A6;2010;2012
