id;pikk_mudel;kytus;kaigukast;alates;kuni
3252;"Golf 1.3";B;H4;1986;1989
5950;"Golf 1.3";B;H4;1989;1989
5951;"Golf 1.3 CL";B;H4;1989;1992
5951;"Golf 1.3 CL";B;H4;1989;1992
3253;"Golf 1.6";B;H4;1986;1989
3254;"Golf 1.6";B;A3;1986;1989
3255;"Golf 1.6 CL";B;H4;1986;1989
3255;"Golf 1.6 CL";B;H4;1986;1989
3256;"Golf 1.6 CL";B;A3;1986;1989
3257;"Golf 1.6 GL";B;H5;1986;1989
3258;"Golf 1.6 GL";B;A3;1986;1989
3258;"Golf 1.6 GL";B;A3;1986;1989
5952;"Golf 1.6";B;H4;1989;1989
5953;"Golf 1.6";B;A3;1989;1989
5954;"Golf 1.6 CL";B;H5;1989;1992
5954;"Golf 1.6 CL";B;H5;1989;1992
5955;"Golf 1.6 CL";B;A3;1989;1992
5956;"Golf 1.6 GL";B;H5;1989;1992
5957;"Golf 1.6 GL";B;A3;1989;1992
5957;"Golf 1.6 GL";B;A3;1989;1992
3259;"Golf 1.8";B;H5;1986;1989
3260;"Golf 1.8";B;A3;1986;1989
3261;"Golf 1.8 CL";B;H5;1986;1989
3261;"Golf 1.8 CL";B;H5;1986;1989
3262;"Golf 1.8 CL";B;A3;1986;1989
3263;"Golf 1.8 GL";B;H5;1986;1989
3264;"Golf 1.8 GL";B;A3;1986;1989
3264;"Golf 1.8 GL";B;A3;1986;1989
3265;"Golf 1.8 GT";B;H5;1986;1989
3266;"Golf 1.8 GT";B;A3;1986;1989
3267;"Golf 1.8 Syncro";B;H5;1986;1988
3267;"Golf 1.8 Syncro";B;H5;1986;1988
3268;"Golf 1.8 CL Syncro";B;H5;1986;1988
4205;"Golf 1.8 GT Syncro";B;H5;1987;1989
5958;"Golf 1.8";B;H5;1989;1989
5958;"Golf 1.8";B;H5;1989;1989
5959;"Golf 1.8";B;A3;1989;1989
5960;"Golf 1.8 CL";B;H5;1989;1992
5961;"Golf 1.8 CL";B;A3;1989;1992
5961;"Golf 1.8 CL";B;A3;1989;1992
5962;"Golf 1.8 GL";B;H5;1989;1992
5963;"Golf 1.8 GL";B;A3;1989;1992
5964;"Golf 1.8 GT";B;H5;1989;1992
5964;"Golf 1.8 GT";B;H5;1989;1992
5965;"Golf 1.8 GT";B;A3;1989;1992
5966;"Golf 1.8 CL Syncro";B;H5;1989;1991
5967;"Golf 1.8 GT Syncro";B;H5;1989;1991
5967;"Golf 1.8 GT Syncro";B;H5;1989;1991
3269;"Golf GTI";B;H5;1986;1992
3270;"Golf GTI 16V";B;H5;1986;1992
6745;"Golf GTI G60";B;H5;1990;1991
6745;"Golf GTI G60";B;H5;1990;1991
3271;"Golf Diesel";D;H4;1986;1989
3272;"Golf CL Diesel";D;H4;1986;1992
3273;"Golf GL Diesel";D;H5;1986;1992
3273;"Golf GL Diesel";D;H5;1986;1992
5968;"Golf CL KAT-Diesel";D;H5;1989;1992
5969;"Golf GL KAT-Diesel";D;H5;1989;1992
3274;"Golf Turbo Diesel";D;H5;1986;1989
3274;"Golf Turbo Diesel";D;H5;1986;1989
3275;"Golf CL Turbo Diesel";D;H5;1986;1990
3276;"Golf GL Turbo Diesel";D;H5;1986;1990
3277;"Golf GT Turbo Diesel";D;H5;1986;1989
3277;"Golf GT Turbo Diesel";D;H5;1986;1989
6746;"Golf CL Turbo Diesel";D;H5;1990;1992
6747;"Golf GL Turbo Diesel";D;H5;1990;1992
5970;"Golf GT Turbo Diesel";D;H5;1989;1992
5970;"Golf GT Turbo Diesel";D;H5;1989;1992
