id;pikk_mudel;kytus;kaigukast;alates;kuni
61476;"Golf Cabriolet 1.2 TSI 105pk BMT";B;H6;2011;heden
63429;"Golf Cabriolet 1.4 TSI 122pk";B;H6;2011;heden
63430;"Golf Cabriolet 1.4 TSI 122pk";B;A7;2011;heden
63430;"Golf Cabriolet 1.4 TSI 122pk";B;A7;2011;heden
61479;"Golf Cabriolet 1.4 TSI 160pk";B;H6;2011;heden
61478;"Golf Cabriolet 1.4 TSI 160pk";B;A7;2011;heden
68382;"Golf Cabriolet 2.0 TSI GTI";B;H6;2012;heden
68382;"Golf Cabriolet 2.0 TSI GTI";B;H6;2012;heden
68383;"Golf Cabriolet 2.0 TSI GTI";B;A7;2012;heden
72209;"Golf Cabriolet 2.0 TSI R";B;A7;2013;heden
61480;"Golf Cabriolet 1.6 TDI 105pk BMT";D;H5;2011;heden
61480;"Golf Cabriolet 1.6 TDI 105pk BMT";D;H5;2011;heden
63431;"Golf Cabriolet 2.0 TDI 140pk BMT";D;H6;2011;heden
63432;"Golf Cabriolet 2.0 TDI 140pk BMT";D;A6;2011;heden
