id;pikk_mudel;kytus;kaigukast;alates;kuni
1614;"Jetta 1.3 C";B;H4;1984;1986
1615;"Jetta 1.3 CL";B;H4;1984;1986
1616;"Jetta 1.6 C";B;H4;1984;1986
1616;"Jetta 1.6 C";B;H4;1984;1986
1617;"Jetta 1.6 C";B;A3;1984;1986
1618;"Jetta 1.6 CL";B;H4;1984;1986
1619;"Jetta 1.6 CL";B;A3;1984;1986
1619;"Jetta 1.6 CL";B;A3;1984;1986
1620;"Jetta 1.6 GL";B;H4;1984;1986
1621;"Jetta 1.6 GL";B;A3;1984;1986
1622;"Jetta 1.8 CL";B;H5;1984;1986
1622;"Jetta 1.8 CL";B;H5;1984;1986
1623;"Jetta 1.8 GL";B;H5;1984;1986
1624;"Jetta 1.8 Carat";B;H5;1984;1986
2243;"Jetta GT";B;H5;1985;1986
2243;"Jetta GT";B;H5;1985;1986
1625;"Jetta C Diesel";D;H4;1984;1986
1626;"Jetta C Diesel";D;A3;1984;1986
1627;"Jetta CL Diesel";D;H4;1984;1986
1627;"Jetta CL Diesel";D;H4;1984;1986
1628;"Jetta CL Diesel";D;A3;1984;1986
1629;"Jetta GL Diesel";D;H4;1984;1986
1630;"Jetta GL Diesel";D;A3;1984;1986
1630;"Jetta GL Diesel";D;A3;1984;1986
1631;"Jetta C Turbo Diesel";D;H5;1984;1986
1632;"Jetta CL Turbo Diesel";D;H5;1984;1986
1633;"Jetta GL Turbo Diesel";D;H5;1984;1986
1633;"Jetta GL Turbo Diesel";D;H5;1984;1986
1634;"Jetta Carat Turbo Diesel";D;H5;1984;1986
