id;pikk_mudel;kytus;kaigukast;alates;kuni
64932;"Multivan L1H1 2.0 TDI 102pk Comfortline";D;H5;2010;heden
64934;"Multivan L1H1 2.0 TDI 115pk BMT Comfortline";D;H5;2011;heden
64935;"Multivan L1H1 2.0 TDI 140pk Comfortline";D;H6;2010;heden
64935;"Multivan L1H1 2.0 TDI 140pk Comfortline";D;H6;2010;heden
64936;"Multivan L1H1 2.0 TDI 140pk Comfortline";D;A7;2010;heden
64937;"Multivan L1H1 2.0 TDI 140pk 4Motion Comfortline";D;H6;2010;heden
64940;"Multivan L1H1 2.0 TDI 140pk Highline";D;H6;2010;heden
64940;"Multivan L1H1 2.0 TDI 140pk Highline";D;H6;2010;heden
64939;"Multivan L1H1 2.0 TDI 140pk Highline";D;A7;2010;heden
64938;"Multivan L1H1 2.0 TDI 140pk 4Motion Highline";D;H6;2010;heden
70806;"Multivan L1H1 2.0 TDI 140pk BMT Comfortline";D;H6;2012;heden
70806;"Multivan L1H1 2.0 TDI 140pk BMT Comfortline";D;H6;2012;heden
64942;"Multivan L1H1 2.0 TDI 140pk BMT Comfortline";D;A7;2012;heden
70808;"Multivan L1H1 2.0 TDI 140pk BMT 4Motion Comfortlin";D;H6;2012;heden
70807;"Multivan L1H1 2.0 TDI 140pk BMT Highline";D;H6;2012;heden
70807;"Multivan L1H1 2.0 TDI 140pk BMT Highline";D;H6;2012;heden
64941;"Multivan L1H1 2.0 TDI 140pk BMT Highline";D;A7;2012;heden
70809;"Multivan L1H1 2.0 TDI 140pk BMT 4Motion Highline";D;H6;2012;heden
64950;"Multivan L1H1 2.0 TDI 180pk Comfortline";D;H6;2010;heden
64950;"Multivan L1H1 2.0 TDI 180pk Comfortline";D;H6;2010;heden
64949;"Multivan L1H1 2.0 TDI 180pk Comfortline";D;A7;2010;heden
64948;"Multivan L1H1 2.0 TDI 180pk 4Motion Comfortline";D;H6;2010;heden
64947;"Multivan L1H1 2.0 TDI 180pk 4Motion Comfortline";D;A7;2010;heden
64947;"Multivan L1H1 2.0 TDI 180pk 4Motion Comfortline";D;A7;2010;heden
64946;"Multivan L1H1 2.0 TDI 180pk Highline";D;H6;2010;heden
64945;"Multivan L1H1 2.0 TDI 180pk Highline";D;A7;2010;heden
64944;"Multivan L1H1 2.0 TDI 180pk 4Motion Highline";D;H6;2010;heden
64944;"Multivan L1H1 2.0 TDI 180pk 4Motion Highline";D;H6;2010;heden
64943;"Multivan L1H1 2.0 TDI 180pk 4Motion Highline";D;A7;2010;heden
70810;"Multivan L1H1 2.0 TDI 180pk BMT Comfortline";D;H6;2012;heden
70811;"Multivan L1H1 2.0 TDI 180pk BMT Comfortline";D;A7;2012;heden
70811;"Multivan L1H1 2.0 TDI 180pk BMT Comfortline";D;A7;2012;heden
70812;"Multivan L1H1 2.0 TDI 180pk BMT 4Motion Comfortlin";D;H6;2012;heden
70813;"Multivan L1H1 2.0 TDI 180pk BMT 4Motion Comfortlin";D;A7;2012;heden
70814;"Multivan L1H1 2.0 TDI 180pk BMT Highline";D;H6;2012;heden
70814;"Multivan L1H1 2.0 TDI 180pk BMT Highline";D;H6;2012;heden
70815;"Multivan L1H1 2.0 TDI 180pk BMT Highline";D;A7;2012;heden
70816;"Multivan L1H1 2.0 TDI 180pk BMT 4Motion Highline";D;H6;2012;heden
70817;"Multivan L1H1 2.0 TDI 180pk BMT 4Motion Highline";D;A7;2012;heden
70817;"Multivan L1H1 2.0 TDI 180pk BMT 4Motion Highline";D;A7;2012;heden
64952;"Multivan L2H1 2.0 TDI 102pk Comfortline";D;H5;2010;heden
64951;"Multivan L2H1 2.0 TDI 115pk BlueMotion Comfortline";D;H5;2011;heden
64961;"Multivan L2H1 2.0 TDI 140pk Comfortline";D;H6;2010;heden
64961;"Multivan L2H1 2.0 TDI 140pk Comfortline";D;H6;2010;heden
64960;"Multivan L2H1 2.0 TDI 140pk Comfortline";D;A7;2010;heden
64959;"Multivan L2H1 2.0 TDI 140pk 4Motion Comfortline";D;H6;2010;heden
70818;"Multivan L2H1 2.0 TDI 140pk BMT Comfortline";D;H6;2012;heden
70818;"Multivan L2H1 2.0 TDI 140pk BMT Comfortline";D;H6;2012;heden
64958;"Multivan L2H1 2.0 TDI 140pk BMT Comfortline";D;A7;2012;heden
70819;"Multivan L2H1 2.0 TDI 140pk BMT 4Motion Comfortlin";D;H6;2012;heden
64957;"Multivan L2H1 2.0 TDI 180pk Comfortline";D;H6;2010;heden
64957;"Multivan L2H1 2.0 TDI 180pk Comfortline";D;H6;2010;heden
64956;"Multivan L2H1 2.0 TDI 180pk Comfortline";D;A7;2010;heden
64955;"Multivan L2H1 2.0 TDI 180pk 4Motion Comfortline";D;H6;2010;heden
64954;"Multivan L2H1 2.0 TDI 180pk 4Motion Comfortline";D;A7;2010;heden
64954;"Multivan L2H1 2.0 TDI 180pk 4Motion Comfortline";D;A7;2010;heden
70820;"Multivan L2H1 2.0 TDI 180pk BMT Comfortline";D;H6;2012;heden
70821;"Multivan L2H1 2.0 TDI 180pk BMT Comfortline";D;A7;2012;heden
70822;"Multivan L2H1 2.0 TDI 180pk BMT 4Motion Comfortlin";D;H6;2012;heden
70822;"Multivan L2H1 2.0 TDI 180pk BMT 4Motion Comfortlin";D;H6;2012;heden
70823;"Multivan L2H1 2.0 TDI 180pk BMT 4Motion Comfortlin";D;A7;2012;heden
