id;pikk_mudel;kytus;kaigukast;alates;kuni
38310;"New Beetle Cabrio 1.4 Trendline";B;H5;2005;2011
38319;"New Beetle Cabrio 1.4 Highline";B;H5;2005;2010
38321;"New Beetle Cabrio 1.6 Trendline";B;H5;2005;2011
38321;"New Beetle Cabrio 1.6 Trendline";B;H5;2005;2011
38320;"New Beetle Cabrio 1.6 Highline";B;H5;2005;2010
38325;"New Beetle Cabrio 2.0 Trendline";B;H5;2005;2010
38324;"New Beetle Cabrio 2.0 Trendline";B;A6;2005;2010
38324;"New Beetle Cabrio 2.0 Trendline";B;A6;2005;2010
38323;"New Beetle Cabrio 2.0 Highline";B;H5;2005;2010
38322;"New Beetle Cabrio 2.0 Highline";B;A6;2005;2010
38326;"New Beetle Cabrio 1.8 Turbo Highline";B;H5;2005;2011
38326;"New Beetle Cabrio 1.8 Turbo Highline";B;H5;2005;2011
38328;"New Beetle Cabrio 1.9 TDI 105pk Trendline";D;H5;2005;2010
38327;"New Beetle Cabrio 1.9 TDI 105pk Highline";D;H5;2005;2010
