id;pikk_mudel;kytus;kaigukast;alates;kuni
10712;"Passat 1.8 75pk";B;H5;1994;1995
9410;"Passat 1.8 75pk CL";B;H5;1993;1995
9411;"Passat 1.8 90pk CL";B;H5;1993;1996
9411;"Passat 1.8 90pk CL";B;H5;1993;1996
9412;"Passat 1.8 90pk CL";B;A4;1993;1996
9413;"Passat 1.8 90pk GL";B;H5;1993;1995
9414;"Passat 1.8 90pk GL";B;A4;1993;1995
9414;"Passat 1.8 90pk GL";B;A4;1993;1995
9415;"Passat 2.0 CL";B;H5;1993;1996
9416;"Passat 2.0 CL";B;A4;1993;1996
9417;"Passat 2.0 GL";B;H5;1993;1995
9417;"Passat 2.0 GL";B;H5;1993;1995
9418;"Passat 2.0 GL";B;A4;1993;1995
9419;"Passat 2.0 GT";B;H5;1993;1995
9420;"Passat 2.0 GT 16V";B;H5;1993;1995
9420;"Passat 2.0 GT 16V";B;H5;1993;1995
9421;"Passat 2.8 VR6 GL Exclusiv";B;H5;1993;1996
9422;"Passat 2.8 VR6 GL Exclusiv";B;A4;1993;1996
10713;"Passat 1.9 TD";D;H5;1994;1995
10713;"Passat 1.9 TD";D;H5;1994;1995
9423;"Passat 1.9 TD CL";D;H5;1993;1996
9424;"Passat 1.9 TD GL";D;H5;1993;1995
10714;"Passat 1.9 TDI 90pk CL";D;H5;1994;1996
10714;"Passat 1.9 TDI 90pk CL";D;H5;1994;1996
13818;"Passat 1.9 TDI 90pk CL";D;A4;1996;1996
9425;"Passat 1.9 TDI 90pk GL";D;H5;1993;1995
9426;"Passat 1.9 TDI 90pk GT";D;H5;1993;1995
9426;"Passat 1.9 TDI 90pk GT";D;H5;1993;1995
13819;"Passat 1.9 TDI 110pk CL";D;H5;1996;1996
13820;"Passat 1.9 TDI 110pk CL";D;A4;1996;1996
