id;pikk_mudel;kytus;kaigukast;alates;kuni
58697;"Phaeton 3.6 V6 4Motion 5-zitter";B;A6;2010;heden
58703;"Phaeton 3.6 V6 4Motion 5-zitter Highline";B;A6;2010;heden
58702;"Phaeton 3.6 V6 4Motion 4-zitter";B;A6;2010;heden
58702;"Phaeton 3.6 V6 4Motion 4-zitter";B;A6;2010;heden
58701;"Phaeton 3.6 V6 4Motion 4-zitter Highline";B;A6;2010;heden
58700;"Phaeton Lang 3.6 V6 4Motion 4-zitter";B;A6;2010;heden
58699;"Phaeton Lang 3.6 V6 4Motion 4-zitter Highline";B;A6;2010;heden
58699;"Phaeton Lang 3.6 V6 4Motion 4-zitter Highline";B;A6;2010;heden
58709;"Phaeton 4.2 V8 4Motion 5-zitter";B;A6;2010;heden
58708;"Phaeton 4.2 V8 4Motion 5-zitter Highline";B;A6;2010;heden
58707;"Phaeton 4.2 V8 4Motion 4-zitter";B;A6;2010;heden
58707;"Phaeton 4.2 V8 4Motion 4-zitter";B;A6;2010;heden
58706;"Phaeton 4.2 V8 4Motion 4-zitter Highline";B;A6;2010;heden
58705;"Phaeton Lang 4.2 V8 4Motion 4-zitter";B;A6;2010;heden
58704;"Phaeton Lang 4.2 V8 4Motion 4-zitter Highline";B;A6;2010;heden
58704;"Phaeton Lang 4.2 V8 4Motion 4-zitter Highline";B;A6;2010;heden
58715;"Phaeton 6.0 W12 4Motion 5-zitter";B;A5;2010;2011
58714;"Phaeton 6.0 W12 4Motion 5-zitter Highline";B;A5;2010;2011
58713;"Phaeton 6.0 W12 4Motion 4-zitter";B;A5;2010;2011
58713;"Phaeton 6.0 W12 4Motion 4-zitter";B;A5;2010;2011
58712;"Phaeton 6.0 W12 4Motion 4-zitter Highline";B;A5;2010;2011
58711;"Phaeton Lang 6.0 W12 4Motion 4-zitter";B;A5;2010;2011
58710;"Phaeton Lang 6.0 W12 4Motion 4-zitter Highline";B;A5;2010;2011
58710;"Phaeton Lang 6.0 W12 4Motion 4-zitter Highline";B;A5;2010;2011
58723;"Phaeton 3.0 TDI V6 4Motion 5-zitter";D;A6;2010;2013
58722;"Phaeton 3.0 TDI V6 4Motion 5-zitter Highline";D;A6;2010;2013
58721;"Phaeton 3.0 TDI V6 4Motion 4-zitter";D;A6;2010;2013
58721;"Phaeton 3.0 TDI V6 4Motion 4-zitter";D;A6;2010;2013
58720;"Phaeton 3.0 TDI V6 4Motion 4-zitter Highline";D;A6;2010;2013
58719;"Phaeton Lang 3.0 TDI V6 4Motion 5-zitter";D;A6;2010;2013
58718;"Phaeton Lang 3.0 TDI V6 4Motion 5-zitter Highline";D;A6;2010;2013
58718;"Phaeton Lang 3.0 TDI V6 4Motion 5-zitter Highline";D;A6;2010;2013
58717;"Phaeton Lang 3.0 TDI V6 4Motion 4-zitter";D;A6;2010;2013
58716;"Phaeton Lang 3.0 TDI V6 4Motion 4-zitter Highline";D;A6;2010;2013
75310;"Phaeton 3.0 TDI V6 4Motion 5-zitter";D;A6;2013;heden
75310;"Phaeton 3.0 TDI V6 4Motion 5-zitter";D;A6;2013;heden
75311;"Phaeton 3.0 TDI V6 4Motion 5-zitter Highline";D;A6;2013;heden
75312;"Phaeton 3.0 TDI V6 4Motion 4-zitter";D;A6;2013;heden
75313;"Phaeton 3.0 TDI V6 4Motion 4-zitter Highline";D;A6;2013;heden
75313;"Phaeton 3.0 TDI V6 4Motion 4-zitter Highline";D;A6;2013;heden
75314;"Phaeton Lang 3.0 TDI V6 4Motion 5-zitter";D;A6;2013;heden
75315;"Phaeton Lang 3.0 TDI V6 4Motion 5-zitter Highline";D;A6;2013;heden
75316;"Phaeton Lang 3.0 TDI V6 4Motion 4-zitter";D;A6;2013;heden
75316;"Phaeton Lang 3.0 TDI V6 4Motion 4-zitter";D;A6;2013;heden
75317;"Phaeton Lang 3.0 TDI V6 4Motion 4-zitter Highline";D;A6;2013;heden
