id;pikk_mudel;kytus;kaigukast;alates;kuni
24680;"Polo 1.2 55pk";B;H5;2002;2005
24924;"Polo 1.2 12V 65pk";B;H5;2001;2005
28717;"Polo 1.2 12V 65pk Atlantic";B;H5;2003;2004
28717;"Polo 1.2 12V 65pk Atlantic";B;H5;2003;2004
31130;"Polo 1.2 12V 65pk Athene";B;H5;2004;2005
35112;"Polo 1.2 12V 65pk Turijn";B;H5;2005;2005
24695;"Polo 1.2 12V 65pk Sportline";B;H5;2001;2005
24695;"Polo 1.2 12V 65pk Sportline";B;H5;2001;2005
24694;"Polo 1.2 12V 65pk Comfortline";B;H5;2001;2005
24693;"Polo 1.2 12V 65pk Highline";B;H5;2001;2005
24682;"Polo 1.4 16V 75pk";B;H5;2001;2005
24682;"Polo 1.4 16V 75pk";B;H5;2001;2005
24684;"Polo 1.4 16V 75pk";B;A4;2001;2005
28720;"Polo 1.4 16V 75pk Atlantic";B;H5;2003;2004
28719;"Polo 1.4 16V 75pk Atlantic";B;A4;2003;2004
28719;"Polo 1.4 16V 75pk Atlantic";B;A4;2003;2004
31133;"Polo 1.4 16V 75pk Athene";B;H5;2004;2005
31132;"Polo 1.4 16V 75pk Athene";B;A4;2004;2005
35115;"Polo 1.4 16V 75pk Turijn";B;H5;2005;2005
35115;"Polo 1.4 16V 75pk Turijn";B;H5;2005;2005
35114;"Polo 1.4 16V 75pk Turijn";B;A4;2005;2005
24701;"Polo 1.4 16V 75pk Sportline";B;H5;2001;2005
24700;"Polo 1.4 16V 75pk Sportline";B;A4;2001;2005
24700;"Polo 1.4 16V 75pk Sportline";B;A4;2001;2005
24699;"Polo 1.4 16V 75pk Comfortline";B;H5;2001;2005
24698;"Polo 1.4 16V 75pk Comfortline";B;A4;2001;2005
24697;"Polo 1.4 16V 75pk Highline";B;H5;2001;2005
24697;"Polo 1.4 16V 75pk Highline";B;H5;2001;2005
24696;"Polo 1.4 16V 75pk Highline";B;A4;2001;2005
25252;"Polo 1.4 16V 100pk";B;H5;2002;2005
28723;"Polo 1.4 16V 100pk Atlantic";B;H5;2003;2004
28723;"Polo 1.4 16V 100pk Atlantic";B;H5;2003;2004
31136;"Polo 1.4 16V 100pk Athene";B;H5;2004;2005
25251;"Polo 1.4 16V 100pk Sportline";B;H5;2002;2005
25250;"Polo 1.4 16V 100pk Comfortline";B;H5;2002;2005
25250;"Polo 1.4 16V 100pk Comfortline";B;H5;2002;2005
25249;"Polo 1.4 16V 100pk Highline";B;H5;2002;2005
28735;"Polo 1.4 16V FSI";B;H5;2003;2005
28734;"Polo 1.4 16V FSI Atlantic";B;H5;2003;2004
28734;"Polo 1.4 16V FSI Atlantic";B;H5;2003;2004
31144;"Polo 1.4 16V FSI Athene";B;H5;2004;2005
28733;"Polo 1.4 16V FSI Sportline";B;H5;2003;2005
28732;"Polo 1.4 16V FSI Comfortline";B;H5;2003;2005
28732;"Polo 1.4 16V FSI Comfortline";B;H5;2003;2005
28731;"Polo 1.4 16V FSI Highline";B;H5;2003;2005
24686;"Polo 1.9 SDI";D;H5;2001;2005
28725;"Polo 1.9 SDI Atlantic";D;H5;2003;2004
28725;"Polo 1.9 SDI Atlantic";D;H5;2003;2004
31138;"Polo 1.9 SDI Athene";D;H5;2004;2005
35116;"Polo 1.9 SDI Turijn";D;H5;2005;2005
24704;"Polo 1.9 SDI Sportline";D;H5;2001;2005
24704;"Polo 1.9 SDI Sportline";D;H5;2001;2005
24703;"Polo 1.9 SDI Comfortline";D;H5;2001;2005
24689;"Polo 1.4 TDI";D;H5;2001;2005
28727;"Polo 1.4 TDI Atlantic";D;H5;2003;2004
28727;"Polo 1.4 TDI Atlantic";D;H5;2003;2004
31140;"Polo 1.4 TDI Athene";D;H5;2004;2005
35117;"Polo 1.4 TDI Turijn";D;H5;2005;2005
24707;"Polo 1.4 TDI Sportline";D;H5;2001;2005
24707;"Polo 1.4 TDI Sportline";D;H5;2001;2005
24706;"Polo 1.4 TDI Comfortline";D;H5;2001;2005
24705;"Polo 1.4 TDI Highline";D;H5;2001;2005
24691;"Polo 1.9 TDI";D;H5;2001;2005
24691;"Polo 1.9 TDI";D;H5;2001;2005
28729;"Polo 1.9 TDI Atlantic";D;H5;2003;2004
31142;"Polo 1.9 TDI Athene";D;H5;2004;2005
24710;"Polo 1.9 TDI Sportline";D;H5;2001;2005
24710;"Polo 1.9 TDI Sportline";D;H5;2001;2005
24709;"Polo 1.9 TDI Comfortline";D;H5;2001;2005
24708;"Polo 1.9 TDI Highline";D;H5;2001;2005
