id;pikk_mudel;kytus;kaigukast;alates;kuni
53245;"Polo 1.2 60pk Easyline";B;H5;2009;heden
53248;"Polo 1.2 70pk Trendline";B;H5;2009;2011
53254;"Polo 1.2 70pk Comfortline";B;H5;2009;2011
53254;"Polo 1.2 70pk Comfortline";B;H5;2009;2011
59992;"Polo 1.2 70pk BMT Trendline";B;H5;2011;2012
59993;"Polo 1.2 70pk BMT Comfortline";B;H5;2011;2012
53250;"Polo 1.4 Trendline";B;H5;2009;2011
53250;"Polo 1.4 Trendline";B;H5;2009;2011
53256;"Polo 1.4 Comfortline";B;H5;2009;2011
53264;"Polo 1.4 Comfortline";B;A7;2009;2011
53260;"Polo 1.4 Highline";B;H5;2009;2011
53260;"Polo 1.4 Highline";B;H5;2009;2011
53265;"Polo 1.4 Highline";B;A7;2009;2011
63932;"Polo 1.2 TSI 90pk BMT Trendline";B;H5;2012;heden
68007;"Polo 1.2 TSI 90pk BMT Trend Edition";B;H5;2012;2012
68007;"Polo 1.2 TSI 90pk BMT Trend Edition";B;H5;2012;2012
73151;"Polo 1.2 TSI 90pk BMT Edition";B;H5;2013;heden
63933;"Polo 1.2 TSI 90pk BMT Comfortline";B;H5;2012;heden
68008;"Polo 1.2 TSI 90pk BMT Comfort Edition";B;H5;2012;2013
68008;"Polo 1.2 TSI 90pk BMT Comfort Edition";B;H5;2012;2013
73153;"Polo 1.2 TSI 90pk BMT Edition Plus";B;H5;2013;heden
63934;"Polo 1.2 TSI 90pk BMT Highline";B;H5;2012;heden
69868;"Polo 1.2 TSI 90pk BMT High Edition";B;H5;2012;2013
69868;"Polo 1.2 TSI 90pk BMT High Edition";B;H5;2012;2013
73160;"Polo 1.2 TSI 90pk BMT R-line";B;H5;2013;heden
63319;"Polo 1.2 TSI 90pk Trendline";B;H5;2011;2012
63317;"Polo 1.2 TSI 90pk Comfortline";B;H5;2011;2012
63317;"Polo 1.2 TSI 90pk Comfortline";B;H5;2011;2012
63925;"Polo 1.2 TSI 90pk Comfortline";B;A7;2012;2013
73155;"Polo 1.2 TSI 90pk Edition Plus";B;A7;2013;heden
63318;"Polo 1.2 TSI 90pk Highline";B;H5;2011;heden
63318;"Polo 1.2 TSI 90pk Highline";B;H5;2011;heden
63926;"Polo 1.2 TSI 90pk Highline";B;A7;2012;heden
73161;"Polo 1.2 TSI 90pk R-Line";B;H5;2013;heden
73162;"Polo 1.2 TSI 90pk R-Line";B;A7;2013;heden
73162;"Polo 1.2 TSI 90pk R-Line";B;A7;2013;heden
69867;"Polo 1.2 TSI 90pk High Edition";B;A7;2012;2013
68384;"Polo 1.2 TSI 105pk BMT Comfortline";B;H6;2012;heden
68385;"Polo 1.2 TSI 105pk BMT Comfortline";B;A7;2012;2012
68385;"Polo 1.2 TSI 105pk BMT Comfortline";B;A7;2012;2012
69865;"Polo 1.2 TSI 105pk BMT Comfort Edition";B;H6;2012;2013
68386;"Polo 1.2 TSI 105pk BMT Highline";B;H6;2012;heden
68387;"Polo 1.2 TSI 105pk BMT Highline";B;A7;2012;heden
68387;"Polo 1.2 TSI 105pk BMT Highline";B;A7;2012;heden
69869;"Polo 1.2 TSI 105pk BMT High Edition";B;H6;2012;2013
69870;"Polo 1.2 TSI 105pk BMT High Edition";B;A7;2012;2013
73163;"Polo 1.2 TSI 105pk BMT R-Line";B;H6;2013;heden
73163;"Polo 1.2 TSI 105pk BMT R-Line";B;H6;2013;heden
73164;"Polo 1.2 TSI 105pk BMT R-Line";B;A7;2013;heden
54622;"Polo 1.2 TSI 105pk Comfortline";B;H6;2010;2012
54623;"Polo 1.2 TSI 105pk Comfortline";B;A7;2010;2012
54623;"Polo 1.2 TSI 105pk Comfortline";B;A7;2010;2012
54624;"Polo 1.2 TSI 105pk Highline";B;H6;2010;heden
54625;"Polo 1.2 TSI 105pk Highline";B;A7;2010;heden
73174;"Polo 1.2 TSI 105pk R-Line";B;H6;2013;heden
73174;"Polo 1.2 TSI 105pk R-Line";B;H6;2013;heden
73175;"Polo 1.2 TSI 105pk R-Line";B;A7;2013;heden
69884;"Polo 1.4 TSI BlueGT";B;H6;2012;heden
69885;"Polo 1.4 TSI BlueGT";B;A7;2012;heden
69885;"Polo 1.4 TSI BlueGT";B;A7;2012;heden
57413;"Polo 1.4 TSI GTI";B;A7;2010;heden
73159;"Polo 1.2 TDI BlueMotion Easyline";D;H5;2013;heden
73157;"Polo 1.2 TDI BlueMotion";D;H5;2013;heden
