id;pikk_mudel;kytus;kaigukast;alates;kuni
13864;"Sharan 2.0 CL";B;H5;1996;1997
13865;"Sharan 2.0 CL";B;A4;1996;1997
13866;"Sharan 2.0 GL";B;H5;1996;1997
13866;"Sharan 2.0 GL";B;H5;1996;1997
13867;"Sharan 2.0 GL";B;A4;1996;1997
13868;"Sharan 2.0 Carat";B;H5;1996;1997
13869;"Sharan 2.0 Carat";B;A4;1996;1997
13869;"Sharan 2.0 Carat";B;A4;1996;1997
13870;"Sharan 2.8 VR6 GL";B;H5;1996;1997
13871;"Sharan 2.8 VR6 GL";B;A4;1996;1997
15786;"Sharan 2.8 VR6 GL Syncro";B;A4;1997;1997
15786;"Sharan 2.8 VR6 GL Syncro";B;A4;1997;1997
13872;"Sharan 2.8 VR6 Carat";B;H5;1996;1997
13873;"Sharan 2.8 VR6 Carat";B;A4;1996;1997
15787;"Sharan 2.8 VR6 Carat Syncro";B;A4;1997;1997
15787;"Sharan 2.8 VR6 Carat Syncro";B;A4;1997;1997
13874;"Sharan 1.9 TDI 90pk CL";D;H5;1996;1997
13875;"Sharan 1.9 TDI 90pk GL";D;H5;1996;1997
13876;"Sharan 1.9 TDI 90pk Carat";D;H5;1996;1997
13876;"Sharan 1.9 TDI 90pk Carat";D;H5;1996;1997
15788;"Sharan 1.9 TDI 110pk CL";D;H5;1997;1997
15789;"Sharan 1.9 TDI 110pk CL";D;A4;1997;1997
15790;"Sharan 1.9 TDI 110pk GL";D;H5;1997;1997
15790;"Sharan 1.9 TDI 110pk GL";D;H5;1997;1997
15791;"Sharan 1.9 TDI 110pk GL";D;A4;1997;1997
15792;"Sharan 1.9 TDI 110pk Carat";D;H5;1997;1997
15793;"Sharan 1.9 TDI 110pk Carat";D;A4;1997;1997
15793;"Sharan 1.9 TDI 110pk Carat";D;A4;1997;1997
