id;pikk_mudel;kytus;kaigukast;alates;kuni
67725;"Sharan Van 2.0 TDI 140pk BlueMotion T. Trendline";D;H6;2010;heden
67727;"Sharan Van 2.0 TDI 140pk BlueMotion T. Trendline";D;A6;2010;2013
67731;"Sharan Van 2.0 TDI 140pk BlueMotion T. Comfortline";D;H6;2010;heden
67731;"Sharan Van 2.0 TDI 140pk BlueMotion T. Comfortline";D;H6;2010;heden
67730;"Sharan Van 2.0 TDI 140pk BlueMotion T. Comfortline";D;A6;2010;heden
67729;"Sharan Van 2.0 TDI 140pk BlueMotion T. Highline";D;H6;2010;heden
67728;"Sharan Van 2.0 TDI 140pk BlueMotion T. Highline";D;A6;2010;heden
67728;"Sharan Van 2.0 TDI 140pk BlueMotion T. Highline";D;A6;2010;heden
67735;"Sharan Van 2.0 TDI 170pk BlueMotion T. Comfortline";D;H6;2010;2013
67734;"Sharan Van 2.0 TDI 170pk BlueMotion T. Comfortline";D;A6;2010;2013
67733;"Sharan Van 2.0 TDI 170pk BlueMotion T. Highline";D;H6;2010;2013
67733;"Sharan Van 2.0 TDI 170pk BlueMotion T. Highline";D;H6;2010;2013
67732;"Sharan Van 2.0 TDI 170pk BlueMotion T. Highline";D;A6;2010;2013
