id;pikk_mudel;kytus;kaigukast;alates;kuni
27381;"Touareg 3.2 V6";B;H6;2002;2004
27384;"Touareg 3.2 V6";B;A6;2002;2004
33025;"Touareg 3.2 V6";B;H6;2004;2006
33025;"Touareg 3.2 V6";B;H6;2004;2006
33024;"Touareg 3.2 V6";B;A6;2004;2006
41722;"Touareg 3.6 V6";B;H6;2006;2007
41721;"Touareg 3.6 V6";B;A6;2006;2007
41721;"Touareg 3.6 V6";B;A6;2006;2007
28642;"Touareg 4.2 V8";B;A6;2003;2007
41720;"Touareg 6.0 W12 Executive";B;A6;2005;2007
40994;"Touareg 6.0 W12 Sport Edition";B;A6;2005;2007
40994;"Touareg 6.0 W12 Sport Edition";B;A6;2005;2007
28712;"Touareg 2.5 TDI";D;H6;2003;2007
28713;"Touareg 2.5 TDI";D;A6;2003;2007
34611;"Touareg 3.0 V6 TDI";D;A6;2005;2007
34611;"Touareg 3.0 V6 TDI";D;A6;2005;2007
27385;"Touareg 5.0 V10 TDI";D;A6;2002;2007
