id;pikk_mudel;kytus;kaigukast;alates;kuni
45304;"CrossTouran 1.6";B;H5;2007;2008
45306;"CrossTouran 1.4 16V TSI 140pk";B;H6;2007;2010
45308;"CrossTouran 1.4 16V TSI 140pk";B;A6;2007;2009
45308;"CrossTouran 1.4 16V TSI 140pk";B;A6;2007;2009
53182;"CrossTouran 1.4 16V TSI 140pk";B;A7;2009;2010
45307;"CrossTouran 1.4 16V TSI 170pk";B;A6;2007;2009
53183;"CrossTouran 1.4 16V TSI 170pk";B;A7;2009;2010
53183;"CrossTouran 1.4 16V TSI 170pk";B;A7;2009;2010
45310;"CrossTouran 1.9 TDI 105pk";D;H6;2007;2010
45309;"CrossTouran 1.9 TDI 105pk";D;A6;2007;2008
49628;"CrossTouran 1.9 TDI 105pk";D;A7;2008;2010
49628;"CrossTouran 1.9 TDI 105pk";D;A7;2008;2010
45312;"CrossTouran 2.0 TDI 140pk";D;H6;2007;2010
45311;"CrossTouran 2.0 TDI 140pk";D;A6;2007;2010
45314;"CrossTouran 2.0 TDI 170pk";D;H6;2007;2010
45314;"CrossTouran 2.0 TDI 170pk";D;H6;2007;2010
45313;"CrossTouran 2.0 TDI 170pk";D;A6;2007;2010
