id;pikk_mudel;kytus;kaigukast;alates;kuni
67711;"Touran Van 1.2 TSI BlueMotion Technology Trendline";B;H6;2010;heden
67713;"Touran Van 1.2 TSI BlueMotion Technology Comfortli";B;H6;2010;heden
67717;"Touran Van 1.4 TSI EcoFuel Trendline";B;H6;2010;heden
67717;"Touran Van 1.4 TSI EcoFuel Trendline";B;H6;2010;heden
67716;"Touran Van 1.4 TSI EcoFuel Trendline";B;A7;2010;2013
67715;"Touran Van 1.4 TSI EcoFuel Comfortline";B;H6;2010;heden
67714;"Touran Van 1.4 TSI EcoFuel Comfortline";B;A7;2010;heden
67714;"Touran Van 1.4 TSI EcoFuel Comfortline";B;A7;2010;heden
67718;"Touran Van 1.6 TDI 90pk Trendline";D;H6;2010;2013
67722;"Touran Van 1.6 TDI 105pk BlueMotion T. Trendline";D;H6;2010;heden
67721;"Touran Van 1.6 TDI 105pk BlueMotion T. Trendline";D;A7;2011;2013
67721;"Touran Van 1.6 TDI 105pk BlueMotion T. Trendline";D;A7;2011;2013
67720;"Touran Van 1.6 TDI 105pk BlueMotion T. Comfortline";D;H6;2010;heden
67719;"Touran Van 1.6 TDI 105pk BlueMotion T. Comfortline";D;A7;2011;heden
67724;"Touran Van 2.0 TDI 140pk BlueMotion T. Comfortline";D;H6;2010;heden
67724;"Touran Van 2.0 TDI 140pk BlueMotion T. Comfortline";D;H6;2010;heden
67723;"Touran Van 2.0 TDI 140pk BlueMotion T. Comfortline";D;A6;2011;heden
