id;pikk_mudel;kytus;kaigukast;alates;kuni
65027;"Transporter L1H1 26 2.0 TDI 84pk Baseline";D;H5;2012;heden
65028;"Transporter L1H1 26 2.0 TDI 84pk";D;H5;2012;heden
65068;"Transporter L1H1 26 2.0 TDI 84pk Trendline";D;H5;2012;heden
65068;"Transporter L1H1 26 2.0 TDI 84pk Trendline";D;H5;2012;heden
65095;"Transporter L1H1 26 2.0 TDI 84pk Comfortline";D;H5;2012;heden
65034;"Transporter L1H1 26 2.0 TDI 84pk BMT Baseline";D;H5;2012;heden
65033;"Transporter L1H1 26 2.0 TDI 84pk BMT";D;H5;2012;heden
65033;"Transporter L1H1 26 2.0 TDI 84pk BMT";D;H5;2012;heden
65069;"Transporter L1H1 26 2.0 TDI 84pk BMT Trendline";D;H5;2012;heden
65096;"Transporter L1H1 26 2.0 TDI 84pk BMT Comfortline";D;H5;2012;heden
65032;"Transporter L1H1 26 2.0 TDI 102pk Baseline";D;H5;2012;heden
65032;"Transporter L1H1 26 2.0 TDI 102pk Baseline";D;H5;2012;heden
65031;"Transporter L1H1 26 2.0 TDI 102pk";D;H5;2012;heden
65070;"Transporter L1H1 26 2.0 TDI 102pk Trendline";D;H5;2012;heden
65097;"Transporter L1H1 26 2.0 TDI 102pk Comfortline";D;H5;2012;heden
65097;"Transporter L1H1 26 2.0 TDI 102pk Comfortline";D;H5;2012;heden
65030;"Transporter L1H1 26 2.0 TDI 114pk BMT Baseline";D;H5;2012;heden
65029;"Transporter L1H1 26 2.0 TDI 114pk BMT";D;H5;2012;heden
65035;"Transporter L1H1 27 2.0 TDI 114pk BlueMotion";D;H5;2012;heden
65035;"Transporter L1H1 27 2.0 TDI 114pk BlueMotion";D;H5;2012;heden
65043;"Transporter L1H1 28 2.0 TDI 84pk Baseline";D;H5;2012;heden
65042;"Transporter L1H1 28 2.0 TDI 84pk";D;H5;2012;heden
65071;"Transporter L1H1 28 2.0 TDI 84pk Trendline";D;H5;2012;heden
65071;"Transporter L1H1 28 2.0 TDI 84pk Trendline";D;H5;2012;heden
65098;"Transporter L1H1 28 2.0 TDI 84pk Comfortline";D;H5;2012;heden
65122;"Transporter L1H1 30 2.0 TDI 84pk Highline";D;H5;2012;heden
65041;"Transporter L1H1 28 2.0 TDI 84pk BMT Baseline";D;H5;2012;heden
65041;"Transporter L1H1 28 2.0 TDI 84pk BMT Baseline";D;H5;2012;heden
65040;"Transporter L1H1 28 2.0 TDI 84pk BMT";D;H5;2012;heden
65072;"Transporter L1H1 28 2.0 TDI 84pk BMT Trendline";D;H5;2012;heden
65099;"Transporter L1H1 28 2.0 TDI 84pk BMT Comfortline";D;H5;2012;heden
65099;"Transporter L1H1 28 2.0 TDI 84pk BMT Comfortline";D;H5;2012;heden
65123;"Transporter L1H1 30 2.0 TDI 84pk BMT Highline";D;H5;2012;heden
65039;"Transporter L1H1 28 2.0 TDI 102pk Baseline";D;H5;2012;heden
65038;"Transporter L1H1 28 2.0 TDI 102pk";D;H5;2012;heden
65038;"Transporter L1H1 28 2.0 TDI 102pk";D;H5;2012;heden
65073;"Transporter L1H1 28 2.0 TDI 102pk Trendline";D;H5;2012;heden
65100;"Transporter L1H1 28 2.0 TDI 102pk Comfortline";D;H5;2012;heden
65124;"Transporter L1H1 30 2.0 TDI 102pk Highline";D;H5;2012;heden
65124;"Transporter L1H1 30 2.0 TDI 102pk Highline";D;H5;2012;heden
65037;"Transporter L1H1 28 2.0 TDI 114pk BMT Baseline";D;H5;2012;heden
65036;"Transporter L1H1 28 2.0 TDI 114pk BMT";D;H5;2012;heden
65074;"Transporter L1H1 28 2.0 TDI 114pk BMT Trendline";D;H5;2012;heden
65074;"Transporter L1H1 28 2.0 TDI 114pk BMT Trendline";D;H5;2012;heden
65101;"Transporter L1H1 28 2.0 TDI 114pk BMT Comfortline";D;H5;2012;heden
65125;"Transporter L1H1 30 2.0 TDI 114pk BMT Highline";D;H5;2012;heden
65051;"Transporter L1H1 28 2.0 TDI 140pk";D;H6;2012;heden
65051;"Transporter L1H1 28 2.0 TDI 140pk";D;H6;2012;heden
65075;"Transporter L1H1 28 2.0 TDI 140pk Trendline";D;H6;2012;heden
65102;"Transporter L1H1 28 2.0 TDI 140pk Comfortline";D;H6;2012;heden
65126;"Transporter L1H1 30 2.0 TDI 140pk Highline";D;H6;2012;heden
65126;"Transporter L1H1 30 2.0 TDI 140pk Highline";D;H6;2012;heden
70684;"Transporter L1H1 28 2.0 TDI 140pk BMT";D;H6;2012;heden
70685;"Transporter L1H1 28 2.0 TDI 140pk BMT Trendline";D;H6;2012;heden
70686;"Transporter L1H1 28 2.0 TDI 140pk BMT Comfortline";D;H6;2012;heden
70686;"Transporter L1H1 28 2.0 TDI 140pk BMT Comfortline";D;H6;2012;heden
70687;"Transporter L1H1 30 2.0 TDI 140pk BMT Highline";D;H6;2012;heden
65050;"Transporter L1H1 28 2.0 TDI 140pk";D;A7;2012;heden
65076;"Transporter L1H1 28 2.0 TDI 140pk Trendline";D;A7;2012;heden
65076;"Transporter L1H1 28 2.0 TDI 140pk Trendline";D;A7;2012;heden
65103;"Transporter L1H1 28 2.0 TDI 140pk Comfortline";D;A7;2012;heden
65127;"Transporter L1H1 30 2.0 TDI 140pk Highline";D;A7;2012;heden
65048;"Transporter L1H1 28 2.0 TDI 140pk BMT";D;A7;2012;heden
65048;"Transporter L1H1 28 2.0 TDI 140pk BMT";D;A7;2012;heden
65078;"Transporter L1H1 28 2.0 TDI 140pk BMT Trendline";D;A7;2012;heden
65105;"Transporter L1H1 28 2.0 TDI 140pk BMT Comfortline";D;A7;2012;heden
65129;"Transporter L1H1 30 2.0 TDI 140pk BMT Highline";D;A7;2012;heden
65129;"Transporter L1H1 30 2.0 TDI 140pk BMT Highline";D;A7;2012;heden
65049;"Transporter L1H1 28 2.0 TDI 140pk 4Motion";D;H6;2012;heden
65077;"Transporter L1H1 28 2.0 TDI 140pk 4Motion Trendlin";D;H6;2012;heden
65104;"Transporter L1H1 28 2.0 TDI 140pk 4Motion Comfortl";D;H6;2012;heden
65104;"Transporter L1H1 28 2.0 TDI 140pk 4Motion Comfortl";D;H6;2012;heden
65128;"Transporter L1H1 30 2.0 TDI 140pk 4Motion Highline";D;H6;2012;heden
70688;"Transporter L1H1 28 2.0 TDI 140pk BMT 4Motion";D;H6;2012;heden
70689;"Transporter L1H1 28 2.0 TDI 140pk BMT 4Motion Tren";D;H6;2012;heden
70689;"Transporter L1H1 28 2.0 TDI 140pk BMT 4Motion Tren";D;H6;2012;heden
70690;"Transporter L1H1 28 2.0 TDI 140pk BMT 4Motion Comf";D;H6;2012;heden
70691;"Transporter L1H1 30 2.0 TDI 140pk BMT 4Motion High";D;H6;2012;heden
65047;"Transporter L1H1 28 2.0 TDI 180pk";D;H6;2012;heden
65047;"Transporter L1H1 28 2.0 TDI 180pk";D;H6;2012;heden
65079;"Transporter L1H1 28 2.0 TDI 180pk Trendline";D;H6;2012;heden
65106;"Transporter L1H1 28 2.0 TDI 180pk Comfortline";D;H6;2012;heden
65130;"Transporter L1H1 30 2.0 TDI 180pk Highline";D;H6;2012;heden
65130;"Transporter L1H1 30 2.0 TDI 180pk Highline";D;H6;2012;heden
70692;"Transporter L1H1 28 2.0 TDI 180pk BMT";D;H6;2012;heden
70693;"Transporter L1H1 28 2.0 TDI 180pk BMT Trendline";D;H6;2012;heden
70694;"Transporter L1H1 28 2.0 TDI 180pk BMT Comfortline";D;H6;2012;heden
70694;"Transporter L1H1 28 2.0 TDI 180pk BMT Comfortline";D;H6;2012;heden
70695;"Transporter L1H1 30 2.0 TDI 180pk BMT Highline";D;H6;2012;heden
65046;"Transporter L1H1 28 2.0 TDI 180pk";D;A7;2012;heden
65080;"Transporter L1H1 28 2.0 TDI 180pk Trendline";D;A7;2012;heden
65080;"Transporter L1H1 28 2.0 TDI 180pk Trendline";D;A7;2012;heden
65107;"Transporter L1H1 28 2.0 TDI 180pk Comfortline";D;A7;2012;heden
65131;"Transporter L1H1 30 2.0 TDI 180pk Highline";D;A7;2012;heden
70696;"Transporter L1H1 28 2.0 TDI 180pk BMT";D;A7;2012;heden
70696;"Transporter L1H1 28 2.0 TDI 180pk BMT";D;A7;2012;heden
70697;"Transporter L1H1 28 2.0 TDI 180pk BMT Trendline";D;A7;2012;heden
70698;"Transporter L1H1 28 2.0 TDI 180pk BMT Comfortline";D;A7;2012;heden
70699;"Transporter L1H1 30 2.0 TDI 180pk BMT Highline";D;A7;2012;heden
70699;"Transporter L1H1 30 2.0 TDI 180pk BMT Highline";D;A7;2012;heden
65045;"Transporter L1H1 28 2.0 TDI 180pk 4Motion";D;H6;2012;heden
65081;"Transporter L1H1 28 2.0 TDI 180pk 4Motion Trendlin";D;H6;2012;heden
65108;"Transporter L1H1 28 2.0 TDI 180pk 4Motion Comfortl";D;H6;2012;heden
65108;"Transporter L1H1 28 2.0 TDI 180pk 4Motion Comfortl";D;H6;2012;heden
65132;"Transporter L1H1 30 2.0 TDI 180pk 4Motion Highline";D;H6;2012;heden
70700;"Transporter L1H1 28 2.0 TDI 180pk BMT 4Motion";D;H6;2012;heden
70701;"Transporter L1H1 28 2.0 TDI 180pk BMT 4Motion Tren";D;H6;2012;heden
70701;"Transporter L1H1 28 2.0 TDI 180pk BMT 4Motion Tren";D;H6;2012;heden
70702;"Transporter L1H1 28 2.0 TDI 180pk BMT 4Motion Comf";D;H6;2012;heden
70703;"Transporter L1H1 30 2.0 TDI 180pk BMT 4Motion High";D;H6;2012;heden
65044;"Transporter L1H1 28 2.0 TDI 180pk 4Motion";D;A7;2012;heden
65044;"Transporter L1H1 28 2.0 TDI 180pk 4Motion";D;A7;2012;heden
65082;"Transporter L1H1 28 2.0 TDI 180pk 4Motion Trendlin";D;A7;2012;heden
65109;"Transporter L1H1 28 2.0 TDI 180pk 4Motion Comfortl";D;A7;2012;heden
65133;"Transporter L1H1 30 2.0 TDI 180pk 4Motion Highline";D;A7;2012;heden
65133;"Transporter L1H1 30 2.0 TDI 180pk 4Motion Highline";D;A7;2012;heden
70704;"Transporter L1H1 28 2.0 TDI 180pk BMT 4Motion";D;A7;2012;heden
70705;"Transporter L1H1 28 2.0 TDI 180pk BMT 4Motion Tren";D;A7;2012;heden
70706;"Transporter L1H1 28 2.0 TDI 180pk BMT 4Motion Comf";D;A7;2012;heden
70706;"Transporter L1H1 28 2.0 TDI 180pk BMT 4Motion Comf";D;A7;2012;heden
70707;"Transporter L1H1 30 2.0 TDI 180pk BMT 4Motion High";D;A7;2012;heden
65052;"Transporter L2H1 28 2.0 TDI 84pk Baseline";D;H5;2012;heden
65059;"Transporter L2H1 28 2.0 TDI 84pk";D;H5;2012;heden
65059;"Transporter L2H1 28 2.0 TDI 84pk";D;H5;2012;heden
65083;"Transporter L2H1 28 2.0 TDI 84pk Trendline";D;H5;2012;heden
65110;"Transporter L2H1 28 2.0 TDI 84pk Comfortline";D;H5;2012;heden
65134;"Transporter L2H1 30 2.0 TDI 84pk Highline";D;H5;2012;heden
65134;"Transporter L2H1 30 2.0 TDI 84pk Highline";D;H5;2012;heden
65058;"Transporter L2H1 28 2.0 TDI 84pk BMT Baseline";D;H5;2012;heden
65057;"Transporter L2H1 28 2.0 TDI 84pk BMT";D;H5;2012;heden
65084;"Transporter L2H1 28 2.0 TDI 84pk BMT Trendline";D;H5;2012;heden
65084;"Transporter L2H1 28 2.0 TDI 84pk BMT Trendline";D;H5;2012;heden
65111;"Transporter L2H1 28 2.0 TDI 84pk BMT Comfortline";D;H5;2012;heden
65135;"Transporter L2H1 30 2.0 TDI 84pk BMT Highline";D;H5;2012;heden
65056;"Transporter L2H1 28 2.0 TDI 102pk Baseline";D;H5;2012;heden
65056;"Transporter L2H1 28 2.0 TDI 102pk Baseline";D;H5;2012;heden
65055;"Transporter L2H1 28 2.0 TDI 102pk";D;H5;2012;heden
65085;"Transporter L2H1 28 2.0 TDI 102pk Trendline";D;H5;2012;heden
65112;"Transporter L2H1 28 2.0 TDI 102pk Comfortline";D;H5;2012;heden
65112;"Transporter L2H1 28 2.0 TDI 102pk Comfortline";D;H5;2012;heden
65136;"Transporter L2H1 30 2.0 TDI 102pk Highline";D;H5;2012;heden
