id;pikk_mudel;kytus;kaigukast;alates;kuni
65929;"Up! 1.0 60pk take up!";B;H5;2012;2012
65931;"Up! 1.0 60pk BMT take up!";B;H5;2012;heden
65934;"Up! 1.0 60pk BMT move up!";B;H5;2012;heden
65934;"Up! 1.0 60pk BMT move up!";B;H5;2012;heden
72941;"Up! 1.0 60pk BMT cheer up!";B;H5;2013;2014
65932;"Up! 1.0 60pk BMT high up!";B;H5;2012;heden
74902;"Up! 1.0 60pk BMT groove up!";B;H5;2013;heden
74902;"Up! 1.0 60pk BMT groove up!";B;H5;2013;heden
65935;"Up! 1.0 60pk move up!";B;H5;2012;2012
68850;"Up! 1.0 60pk move up!";B;A5;2012;heden
72942;"Up! 1.0 60pk cheer up!";B;A5;2013;2014
72942;"Up! 1.0 60pk cheer up!";B;A5;2013;2014
65933;"Up! 1.0 60pk high up!";B;H5;2012;2012
65939;"Up! 1.0 75pk move up!";B;H5;2012;2012
65938;"Up! 1.0 75pk BMT move up!";B;H5;2012;heden
65938;"Up! 1.0 75pk BMT move up!";B;H5;2012;heden
72943;"Up! 1.0 75pk BMT cheer up!";B;H5;2013;2014
65936;"Up! 1.0 75pk BMT high up!";B;H5;2012;heden
74903;"Up! 1.0 75pk BMT groove up!";B;H5;2013;heden
74903;"Up! 1.0 75pk BMT groove up!";B;H5;2013;heden
74898;"Up! 1.0 75pk cross up!";B;H5;2013;heden
65937;"Up! 1.0 75pk high up!";B;H5;2012;2012
68851;"Up! 1.0 75pk high up!";B;A5;2012;heden
68851;"Up! 1.0 75pk high up!";B;A5;2012;heden
74904;"Up! 1.0 75pk groove up!";B;A5;2013;heden
70777;"Up! 1.0 EcoFuel BMT take up!";B;H5;2012;heden
70778;"Up! 1.0 EcoFuel BMT move up!";B;H5;2012;heden
70778;"Up! 1.0 EcoFuel BMT move up!";B;H5;2012;heden
72944;"Up! 1.0 EcoFuel BMT cheer up!";B;H5;2013;2014
70779;"Up! 1.0 EcoFuel BMT high up!";B;H5;2012;heden
