id;pikk_mudel;kytus;kaigukast;alates;kuni
4240;"740 Estate";B;H5;1987;1989
4877;"740 GL 2.0 Estate";B;H5;1988;1989
2391;"740 GL 2.3 Estate";B;H5;1985;1988
2391;"740 GL 2.3 Estate";B;H5;1985;1988
2392;"740 GL 2.3 Estate";B;A4;1985;1988
3395;"740 GL 2.3 Estate";B;H5;1986;1989
3396;"740 GL 2.3 Estate";B;A4;1986;1989
3396;"740 GL 2.3 Estate";B;A4;1986;1989
2393;"740 GLE Estate";B;H5;1985;1988
2394;"740 GLE Estate";B;A4;1985;1988
4878;"740 GLE 16V Estate";B;H5;1988;1989
4878;"740 GLE 16V Estate";B;H5;1988;1989
4879;"740 GLT 16V Estate";B;H5;1988;1989
4880;"740 GLT 16V Estate";B;A4;1988;1989
2395;"740 Turbo Estate";B;H5;1985;1988
2395;"740 Turbo Estate";B;H5;1985;1988
2396;"740 Turbo Estate";B;A4;1985;1988
4241;"740 Turbo Estate";B;H5;1987;1989
4242;"740 Turbo Estate";B;A4;1987;1989
4242;"740 Turbo Estate";B;A4;1987;1989
4243;"740 Diesel Estate";D;H5;1987;1989
2397;"740 GL Diesel Estate";D;H5;1985;1987
4244;"740 GL Turbo Diesel Estate";D;H5;1987;1989
4244;"740 GL Turbo Diesel Estate";D;H5;1987;1989
4245;"740 GL Turbo Diesel Estate";D;A4;1987;1989
2398;"740 GLE Turbo Diesel Estate";D;H5;1985;1989
2399;"740 GLE Turbo Diesel Estate";D;A4;1985;1989
2399;"740 GLE Turbo Diesel Estate";D;A4;1985;1989
