id;pikk_mudel;kytus;kaigukast;alates;kuni
28446;"S80 2.4 140pk";B;H5;2003;2005
28445;"S80 2.4 140pk";B;A5;2003;2005
35930;"S80 2.4 140pk Graphite";B;H5;2005;2005
35930;"S80 2.4 140pk Graphite";B;H5;2005;2005
35929;"S80 2.4 140pk Graphite";B;A5;2005;2005
28453;"S80 2.4 140pk Elan";B;H5;2003;2004
28452;"S80 2.4 140pk Elan";B;A5;2003;2004
28452;"S80 2.4 140pk Elan";B;A5;2003;2004
33251;"S80 2.4 140pk Kinetic";B;H5;2004;2005
33250;"S80 2.4 140pk Kinetic";B;A5;2004;2005
28451;"S80 2.4 140pk Elite";B;H5;2003;2004
28451;"S80 2.4 140pk Elite";B;H5;2003;2004
28450;"S80 2.4 140pk Elite";B;A5;2003;2004
33253;"S80 2.4 140pk Momentum";B;H5;2004;2005
33252;"S80 2.4 140pk Momentum";B;A5;2004;2005
33252;"S80 2.4 140pk Momentum";B;A5;2004;2005
35932;"S80 2.4 140pk Momentum Graphite";B;H5;2005;2005
35931;"S80 2.4 140pk Momentum Graphite";B;A5;2005;2005
34580;"S80 2.4 140pk Sapphire";B;H5;2004;2005
34580;"S80 2.4 140pk Sapphire";B;H5;2004;2005
34579;"S80 2.4 140pk Sapphire";B;A5;2004;2005
28449;"S80 2.4 140pk Exclusive";B;H5;2003;2004
28448;"S80 2.4 140pk Exclusive";B;A5;2003;2004
28448;"S80 2.4 140pk Exclusive";B;A5;2003;2004
33255;"S80 2.4 140pk Summum";B;H5;2004;2005
33254;"S80 2.4 140pk Summum";B;A5;2004;2005
35934;"S80 2.4 140pk Summum Graphite";B;H5;2005;2005
35934;"S80 2.4 140pk Summum Graphite";B;H5;2005;2005
35933;"S80 2.4 140pk Summum Graphite";B;A5;2005;2005
28461;"S80 2.4 140pk Bi-Fuel LPG";B;H5;2003;2005
28460;"S80 2.4 140pk Bi-Fuel LPG";B;A5;2003;2005
28460;"S80 2.4 140pk Bi-Fuel LPG";B;A5;2003;2005
28459;"S80 2.4 140pk Bi-Fuel LPG Elan";B;H5;2003;2004
28458;"S80 2.4 140pk Bi-Fuel LPG Elan";B;A5;2003;2004
33257;"S80 2.4 140pk Bi-Fuel LPG Kinetic";B;H5;2004;2005
33257;"S80 2.4 140pk Bi-Fuel LPG Kinetic";B;H5;2004;2005
33256;"S80 2.4 140pk Bi-Fuel LPG Kinetic";B;A5;2004;2005
28457;"S80 2.4 140pk Bi-Fuel LPG Elite";B;H5;2003;2004
28456;"S80 2.4 140pk Bi-Fuel LPG Elite";B;A5;2003;2004
28456;"S80 2.4 140pk Bi-Fuel LPG Elite";B;A5;2003;2004
33259;"S80 2.4 140pk Bi-Fuel LPG Momentum";B;H5;2004;2005
33258;"S80 2.4 140pk Bi-Fuel LPG Momentum";B;A5;2004;2005
28455;"S80 2.4 140pk Bi-Fuel LPG Exclusive";B;H5;2003;2004
28455;"S80 2.4 140pk Bi-Fuel LPG Exclusive";B;H5;2003;2004
28454;"S80 2.4 140pk Bi-Fuel LPG Exclusive";B;A5;2003;2004
33261;"S80 2.4 140pk Bi-Fuel LPG Summum";B;H5;2004;2005
33260;"S80 2.4 140pk Bi-Fuel LPG Summum";B;A5;2004;2005
33260;"S80 2.4 140pk Bi-Fuel LPG Summum";B;A5;2004;2005
28469;"S80 2.4 140pk Bi-Fuel CNG";B;H5;2003;2005
28468;"S80 2.4 140pk Bi-Fuel CNG";B;A5;2003;2005
35936;"S80 2.4 140pk Bi-Fuel CNG Graphite";B;H5;2005;2005
35936;"S80 2.4 140pk Bi-Fuel CNG Graphite";B;H5;2005;2005
35935;"S80 2.4 140pk Bi-Fuel CNG Graphite";B;A5;2005;2005
28467;"S80 2.4 140pk Bi-Fuel CNG Elan";B;H5;2003;2004
28466;"S80 2.4 140pk Bi-Fuel CNG Elan";B;A5;2003;2004
28466;"S80 2.4 140pk Bi-Fuel CNG Elan";B;A5;2003;2004
33263;"S80 2.4 140pk Bi-Fuel CNG Kinetic";B;H5;2004;2005
33262;"S80 2.4 140pk Bi-Fuel CNG Kinetic";B;A5;2004;2005
28465;"S80 2.4 140pk Bi-Fuel CNG Elite";B;H5;2003;2004
28465;"S80 2.4 140pk Bi-Fuel CNG Elite";B;H5;2003;2004
28464;"S80 2.4 140pk Bi-Fuel CNG Elite";B;A5;2003;2004
33265;"S80 2.4 140pk Bi-Fuel CNG Momentum";B;H5;2004;2005
33264;"S80 2.4 140pk Bi-Fuel CNG Momentum";B;A5;2004;2005
33264;"S80 2.4 140pk Bi-Fuel CNG Momentum";B;A5;2004;2005
35938;"S80 2.4 140pk Bi-Fuel CNG Momentum Graphite";B;H5;2005;2005
35937;"S80 2.4 140pk Bi-Fuel CNG Momentum Graphite";B;A5;2005;2005
28463;"S80 2.4 140pk Bi-Fuel CNG Exclusive";B;H5;2003;2004
28463;"S80 2.4 140pk Bi-Fuel CNG Exclusive";B;H5;2003;2004
28462;"S80 2.4 140pk Bi-Fuel CNG Exclusive";B;A5;2003;2004
33267;"S80 2.4 140pk Bi-Fuel CNG Summum";B;H5;2004;2005
33266;"S80 2.4 140pk Bi-Fuel CNG Summum";B;A5;2004;2005
33266;"S80 2.4 140pk Bi-Fuel CNG Summum";B;A5;2004;2005
35940;"S80 2.4 140pk Bi-Fuel CNG Summum Graphite";B;H5;2005;2005
35939;"S80 2.4 140pk Bi-Fuel CNG Summum Graphite";B;A5;2005;2005
28477;"S80 2.4 170pk";B;H5;2003;2005
28477;"S80 2.4 170pk";B;H5;2003;2005
28476;"S80 2.4 170pk";B;A5;2003;2005
35942;"S80 2.4 170pk Graphite";B;H5;2005;2005
35941;"S80 2.4 170pk Graphite";B;A5;2005;2006
35941;"S80 2.4 170pk Graphite";B;A5;2005;2006
28475;"S80 2.4 170pk Elan";B;H5;2003;2004
28474;"S80 2.4 170pk Elan";B;A5;2003;2004
33269;"S80 2.4 170pk Kinetic";B;H5;2004;2005
33269;"S80 2.4 170pk Kinetic";B;H5;2004;2005
33268;"S80 2.4 170pk Kinetic";B;A5;2004;2005
28473;"S80 2.4 170pk Elite";B;H5;2003;2004
28472;"S80 2.4 170pk Elite";B;A5;2003;2004
28472;"S80 2.4 170pk Elite";B;A5;2003;2004
33271;"S80 2.4 170pk Momentum";B;H5;2004;2005
33270;"S80 2.4 170pk Momentum";B;A5;2004;2005
35944;"S80 2.4 170pk Momentum Graphite";B;H5;2005;2005
35944;"S80 2.4 170pk Momentum Graphite";B;H5;2005;2005
35943;"S80 2.4 170pk Momentum Graphite";B;A5;2005;2006
34582;"S80 2.4 170pk Sapphire";B;H5;2004;2005
34581;"S80 2.4 170pk Sapphire";B;A5;2004;2005
34581;"S80 2.4 170pk Sapphire";B;A5;2004;2005
28471;"S80 2.4 170pk Exclusive";B;H5;2003;2004
28470;"S80 2.4 170pk Exclusive";B;A5;2003;2004
33273;"S80 2.4 170pk Summum";B;H5;2004;2005
33273;"S80 2.4 170pk Summum";B;H5;2004;2005
33272;"S80 2.4 170pk Summum";B;A5;2004;2005
35946;"S80 2.4 170pk Summum Graphite";B;H5;2005;2005
35945;"S80 2.4 170pk Summum Graphite";B;A5;2005;2006
35945;"S80 2.4 170pk Summum Graphite";B;A5;2005;2006
