id;pikk_mudel;kytus;kaigukast;alates;kuni
72825;"S80 T4 Kinetic";B;H6;2013;heden
72831;"S80 T4 Kinetic";B;A6;2013;heden
72830;"S80 T4 Momentum";B;H6;2013;heden
72830;"S80 T4 Momentum";B;H6;2013;heden
72829;"S80 T4 Momentum";B;A6;2013;heden
72828;"S80 T4 Summum";B;H6;2013;heden
72827;"S80 T4 Summum";B;A6;2013;heden
72827;"S80 T4 Summum";B;A6;2013;heden
72837;"S80 T4F Kinetic";B;H6;2013;2013
72836;"S80 T4F Kinetic";B;A6;2013;2013
72835;"S80 T4F Momentum";B;H6;2013;2013
72835;"S80 T4F Momentum";B;H6;2013;2013
72834;"S80 T4F Momentum";B;A6;2013;2013
72833;"S80 T4F Summum";B;H6;2013;2013
72832;"S80 T4F Summum";B;A6;2013;2013
72832;"S80 T4F Summum";B;A6;2013;2013
72840;"S80 T5 Kinetic";B;A6;2013;2013
72839;"S80 T5 Momentum";B;A6;2013;2013
72838;"S80 T5 Summum";B;A6;2013;2013
72838;"S80 T5 Summum";B;A6;2013;2013
72843;"S80 T5 Executive";B;A6;2013;2013
75000;"S80 T5 Kinetic";B;A6;2013;heden
75001;"S80 T5 Momentum";B;A6;2013;heden
75001;"S80 T5 Momentum";B;A6;2013;heden
75002;"S80 T5 Summum";B;A6;2013;heden
75003;"S80 T5 Executive";B;A6;2013;heden
72842;"S80 T6 AWD Momentum";B;A6;2013;heden
72842;"S80 T6 AWD Momentum";B;A6;2013;heden
72841;"S80 T6 AWD Summum";B;A6;2013;heden
72844;"S80 T6 AWD Executive";B;A6;2013;heden
72850;"S80 D2 Kinetic";D;H6;2013;heden
72850;"S80 D2 Kinetic";D;H6;2013;heden
72849;"S80 D2 Kinetic";D;A6;2013;heden
72848;"S80 D2 Momentum";D;H6;2013;heden
72847;"S80 D2 Momentum";D;A6;2013;heden
72847;"S80 D2 Momentum";D;A6;2013;heden
72846;"S80 D2 Summum";D;H6;2013;heden
72845;"S80 D2 Summum";D;A6;2013;heden
72870;"S80 D3 Kinetic";D;H6;2013;heden
72870;"S80 D3 Kinetic";D;H6;2013;heden
72871;"S80 D3 Kinetic";D;A6;2013;heden
72872;"S80 D3 Momentum";D;H6;2013;heden
72873;"S80 D3 Momentum";D;A6;2013;heden
72873;"S80 D3 Momentum";D;A6;2013;heden
72874;"S80 D3 Summum";D;H6;2013;heden
72875;"S80 D3 Summum";D;A6;2013;heden
72856;"S80 D4 Kinetic";D;H6;2013;2013
72856;"S80 D4 Kinetic";D;H6;2013;2013
72855;"S80 D4 Kinetic";D;A6;2013;2013
72854;"S80 D4 Momentum";D;H6;2013;2013
72853;"S80 D4 Momentum";D;A6;2013;2013
72853;"S80 D4 Momentum";D;A6;2013;2013
72852;"S80 D4 Summum";D;H6;2013;2013
72851;"S80 D4 Summum";D;A6;2013;2013
72868;"S80 D4 Executive";D;A6;2013;2013
72868;"S80 D4 Executive";D;A6;2013;2013
75005;"S80 D4 Kinetic";D;H6;2013;heden
75004;"S80 D4 Kinetic";D;A8;2013;heden
75006;"S80 D4 Momentum";D;H6;2013;heden
75006;"S80 D4 Momentum";D;H6;2013;heden
75007;"S80 D4 Momentum";D;A8;2013;heden
75008;"S80 D4 Summum";D;H6;2013;heden
75009;"S80 D4 Summum";D;A8;2013;heden
75009;"S80 D4 Summum";D;A8;2013;heden
75010;"S80 D4 Executive";D;A8;2013;heden
72862;"S80 D5 Kinetic";D;H6;2013;heden
72861;"S80 D5 Kinetic";D;A6;2013;heden
72861;"S80 D5 Kinetic";D;A6;2013;heden
72860;"S80 D5 Momentum";D;H6;2013;heden
72859;"S80 D5 Momentum";D;A6;2013;heden
72858;"S80 D5 Summum";D;H6;2013;heden
72858;"S80 D5 Summum";D;H6;2013;heden
72857;"S80 D5 Summum";D;A6;2013;heden
72867;"S80 D5 Executive";D;A6;2013;heden
72865;"S80 D5 AWD Kinetic";D;A6;2013;heden
72865;"S80 D5 AWD Kinetic";D;A6;2013;heden
72864;"S80 D5 AWD Momentum";D;A6;2013;heden
72863;"S80 D5 AWD Summum";D;A6;2013;heden
72866;"S80 D5 AWD Executive";D;A6;2013;heden
72866;"S80 D5 AWD Executive";D;A6;2013;heden
