id;pikk_mudel;kytus;kaigukast;alates;kuni
70408;"V40 Cross Country T4";B;H6;2013;heden
70416;"V40 Cross Country T4";B;A6;2013;heden
70415;"V40 Cross Country T4 Kinetic";B;H6;2013;heden
70415;"V40 Cross Country T4 Kinetic";B;H6;2013;heden
70414;"V40 Cross Country T4 Kinetic";B;A6;2013;heden
70413;"V40 Cross Country T4 Momentum";B;H6;2013;heden
70412;"V40 Cross Country T4 Momentum";B;A6;2013;heden
70412;"V40 Cross Country T4 Momentum";B;A6;2013;heden
70411;"V40 Cross Country T4 Summum";B;H6;2013;heden
70410;"V40 Cross Country T4 Summum";B;A6;2013;heden
70419;"V40 Cross Country T5 Kinetic";B;A6;2013;heden
70419;"V40 Cross Country T5 Kinetic";B;A6;2013;heden
70418;"V40 Cross Country T5 Momentum";B;A6;2013;heden
70417;"V40 Cross Country T5 Summum";B;A6;2013;heden
70438;"V40 Cross Country T5 AWD Kinetic";B;A6;2013;heden
70438;"V40 Cross Country T5 AWD Kinetic";B;A6;2013;heden
70439;"V40 Cross Country T5 AWD Momentum";B;A6;2013;heden
70440;"V40 Cross Country T5 AWD Summum";B;A6;2013;heden
70423;"V40 Cross Country D2";D;H6;2013;heden
70423;"V40 Cross Country D2";D;H6;2013;heden
75920;"V40 Cross Country D2";D;A6;2014;heden
70422;"V40 Cross Country D2 Kinetic";D;H6;2013;heden
75921;"V40 Cross Country D2 Kinetic";D;A6;2014;heden
75921;"V40 Cross Country D2 Kinetic";D;A6;2014;heden
70421;"V40 Cross Country D2 Momentum";D;H6;2013;heden
75922;"V40 Cross Country D2 Momentum";D;A6;2014;heden
70420;"V40 Cross Country D2 Summum";D;H6;2013;heden
70420;"V40 Cross Country D2 Summum";D;H6;2013;heden
75923;"V40 Cross Country D2 Summum";D;A6;2014;heden
70431;"V40 Cross Country D3";D;H6;2013;heden
70430;"V40 Cross Country D3";D;A6;2013;heden
70430;"V40 Cross Country D3";D;A6;2013;heden
70429;"V40 Cross Country D3 Kinetic";D;H6;2013;heden
70428;"V40 Cross Country D3 Kinetic";D;A6;2013;heden
70427;"V40 Cross Country D3 Momentum";D;H6;2013;heden
70427;"V40 Cross Country D3 Momentum";D;H6;2013;heden
70426;"V40 Cross Country D3 Momentum";D;A6;2013;heden
70425;"V40 Cross Country D3 Summum";D;H6;2013;heden
70424;"V40 Cross Country D3 Summum";D;A6;2013;heden
70424;"V40 Cross Country D3 Summum";D;A6;2013;heden
70437;"V40 Cross Country D4 Kinetic";D;H6;2013;heden
70436;"V40 Cross Country D4 Kinetic";D;A6;2013;heden
70435;"V40 Cross Country D4 Momentum";D;H6;2013;heden
70435;"V40 Cross Country D4 Momentum";D;H6;2013;heden
70434;"V40 Cross Country D4 Momentum";D;A6;2013;heden
70433;"V40 Cross Country D4 Summum";D;H6;2013;heden
70432;"V40 Cross Country D4 Summum";D;A6;2013;heden
70432;"V40 Cross Country D4 Summum";D;A6;2013;heden
