id;pikk_mudel;kytus;kaigukast;alates;kuni
22751;"V70 2.4 140pk";B;H5;2000;2004
22752;"V70 2.4 140pk";B;A5;2000;2004
28515;"V70 2.4 140pk Edition I";B;H5;2003;2004
28515;"V70 2.4 140pk Edition I";B;H5;2003;2004
28514;"V70 2.4 140pk Edition I";B;A5;2003;2004
28513;"V70 2.4 140pk Edition II";B;H5;2003;2004
28512;"V70 2.4 140pk Edition II";B;A5;2003;2004
28512;"V70 2.4 140pk Edition II";B;A5;2003;2004
30997;"V70 2.4 140pk Black Sapphire Edition";B;H5;2004;2004
30996;"V70 2.4 140pk Black Sapphire Edition";B;A5;2004;2004
24159;"V70 2.4 140pk Bi-Fuel LPG";B;H5;2001;2004
24159;"V70 2.4 140pk Bi-Fuel LPG";B;H5;2001;2004
24158;"V70 2.4 140pk Bi-Fuel LPG";B;A5;2001;2004
28519;"V70 2.4 140pk Bi-Fuel LPG Edition I";B;H5;2003;2004
28518;"V70 2.4 140pk Bi-Fuel LPG Edition I";B;A5;2003;2004
28518;"V70 2.4 140pk Bi-Fuel LPG Edition I";B;A5;2003;2004
28517;"V70 2.4 140pk Bi-Fuel LPG Edition II";B;H5;2003;2004
28516;"V70 2.4 140pk Bi-Fuel LPG Edition II";B;A5;2003;2004
31001;"V70 2.4 140pk Bi-Fuel LPG Black Sapphire Edition";B;H5;2004;2004
31001;"V70 2.4 140pk Bi-Fuel LPG Black Sapphire Edition";B;H5;2004;2004
31000;"V70 2.4 140pk Bi-Fuel LPG Black Sapphire Edition";B;A5;2004;2004
26256;"V70 2.4 140pk Bi-Fuel CNG";B;H5;2002;2004
26255;"V70 2.4 140pk Bi-Fuel CNG";B;A5;2002;2004
26255;"V70 2.4 140pk Bi-Fuel CNG";B;A5;2002;2004
22759;"V70 2.4 170pk";B;H5;2000;2004
22760;"V70 2.4 170pk";B;A5;2000;2004
28523;"V70 2.4 170pk Edition I";B;H5;2003;2004
28523;"V70 2.4 170pk Edition I";B;H5;2003;2004
28522;"V70 2.4 170pk Edition I";B;A5;2003;2004
28521;"V70 2.4 170pk Edition II";B;H5;2003;2004
28520;"V70 2.4 170pk Edition II";B;A5;2003;2004
28520;"V70 2.4 170pk Edition II";B;A5;2003;2004
30999;"V70 2.4 170pk Black Sapphire Edition";B;H5;2004;2004
30998;"V70 2.4 170pk Black Sapphire Edition";B;A5;2004;2004
22767;"V70 2.4 T";B;H5;2000;2003
22767;"V70 2.4 T";B;H5;2000;2003
22768;"V70 2.4 T";B;A5;2000;2003
22775;"V70 2.4 T AWD";B;H5;2000;2002
22776;"V70 2.4 T AWD";B;A5;2000;2002
22776;"V70 2.4 T AWD";B;A5;2000;2002
28391;"V70 2.5 T";B;H5;2003;2004
28390;"V70 2.5 T";B;A5;2003;2004
28533;"V70 2.5 T Titanium";B;H5;2003;2004
28533;"V70 2.5 T Titanium";B;H5;2003;2004
28532;"V70 2.5 T Titanium";B;A5;2003;2004
27029;"V70 2.5 T AWD";B;H5;2002;2004
27028;"V70 2.5 T AWD";B;A5;2002;2004
27028;"V70 2.5 T AWD";B;A5;2002;2004
28535;"V70 2.5 T AWD Titanium";B;H5;2003;2004
28534;"V70 2.5 T AWD Titanium";B;A5;2003;2004
22791;"V70 T5";B;H5;2000;2004
22791;"V70 T5";B;H5;2000;2004
22792;"V70 T5";B;A5;2000;2004
28539;"V70 T5 Titanium";B;H5;2003;2004
28538;"V70 T5 Titanium";B;A5;2003;2004
28538;"V70 T5 Titanium";B;A5;2003;2004
28395;"V70 R";B;H6;2003;2004
28394;"V70 R";B;A5;2003;2004
22799;"V70 2.5 D";D;H5;2000;2001
22799;"V70 2.5 D";D;H5;2000;2001
26259;"V70 2.4 D";D;H5;2002;2004
26260;"V70 2.4 D";D;A5;2002;2004
28527;"V70 2.4 D Edition I";D;H5;2003;2004
28527;"V70 2.4 D Edition I";D;H5;2003;2004
28526;"V70 2.4 D Edition I";D;A5;2003;2004
28525;"V70 2.4 D Edition II";D;H5;2003;2004
28524;"V70 2.4 D Edition II";D;A5;2003;2004
28524;"V70 2.4 D Edition II";D;A5;2003;2004
31003;"V70 2.4 D Black Sapphire Edition";D;H5;2004;2004
31002;"V70 2.4 D Black Sapphire Edition";D;A5;2004;2004
24162;"V70 2.4 D5";D;H5;2001;2004
24162;"V70 2.4 D5";D;H5;2001;2004
26263;"V70 2.4 D5";D;A5;2002;2004
28531;"V70 2.4 D5 Edition I";D;H5;2003;2004
28530;"V70 2.4 D5 Edition I";D;A5;2003;2004
28530;"V70 2.4 D5 Edition I";D;A5;2003;2004
28529;"V70 2.4 D5 Edition II";D;H5;2003;2004
28528;"V70 2.4 D5 Edition II";D;A5;2003;2004
31005;"V70 2.4 D5 Black Sapphire Edition";D;H5;2004;2004
31005;"V70 2.4 D5 Black Sapphire Edition";D;H5;2004;2004
31004;"V70 2.4 D5 Black Sapphire Edition";D;A5;2004;2004
30994;"V70 2.4 D5 AWD";D;H5;2004;2004
27030;"V70 2.4 D5 AWD";D;A5;2002;2004
27030;"V70 2.4 D5 AWD";D;A5;2002;2004
28537;"V70 2.4 D5 AWD Titanium";D;A5;2003;2004
