id;pikk_mudel;kytus;kaigukast;alates;kuni
54998;"XC60 2.0T";B;A6;2010;2010
54999;"XC60 2.0T Kinetic";B;A6;2010;2011
55000;"XC60 2.0T Momentum";B;A6;2010;2011
55000;"XC60 2.0T Momentum";B;A6;2010;2011
55001;"XC60 2.0T Summum";B;A6;2010;2011
55002;"XC60 2.0T R-Design";B;A6;2010;2011
59159;"XC60 T5 Kinetic";B;A6;2010;2013
59159;"XC60 T5 Kinetic";B;A6;2010;2013
61665;"XC60 T5 Ocean Race";B;A6;2011;2013
59160;"XC60 T5 Momentum";B;A6;2010;2013
59161;"XC60 T5 Summum";B;A6;2010;2013
59161;"XC60 T5 Summum";B;A6;2010;2013
59162;"XC60 T5 R-Design";B;A6;2010;2013
52536;"XC60 3.2 AWD";B;A6;2009;2010
52535;"XC60 3.2 AWD Kinetic";B;A6;2009;2010
52535;"XC60 3.2 AWD Kinetic";B;A6;2009;2010
52533;"XC60 3.2 AWD Momentum";B;A6;2009;2010
52534;"XC60 3.2 AWD Summum";B;A6;2009;2010
54992;"XC60 3.2 AWD R-Design";B;A6;2009;2010
54992;"XC60 3.2 AWD R-Design";B;A6;2009;2010
56908;"XC60 3.2 AWD Kinetic";B;A6;2010;2012
61666;"XC60 3.2 AWD Ocean Race";B;A6;2011;2012
56909;"XC60 3.2 AWD Momentum";B;A6;2010;2012
56909;"XC60 3.2 AWD Momentum";B;A6;2010;2012
56910;"XC60 3.2 AWD Summum";B;A6;2010;2012
56911;"XC60 3.2 AWD R-Design";B;A6;2010;2012
48758;"XC60 T6 AWD Momentum";B;A6;2008;2010
48758;"XC60 T6 AWD Momentum";B;A6;2008;2010
48767;"XC60 T6 AWD Summum";B;A6;2008;2010
54993;"XC60 T6 AWD R-Design";B;A6;2009;2010
56915;"XC60 T6 AWD Kinetic";B;A6;2010;2013
56915;"XC60 T6 AWD Kinetic";B;A6;2010;2013
61667;"XC60 T6 AWD Ocean Race";B;A6;2011;2013
56912;"XC60 T6 AWD Momentum";B;A6;2010;2013
56913;"XC60 T6 AWD Summum";B;A6;2010;2013
56913;"XC60 T6 AWD Summum";B;A6;2010;2013
56914;"XC60 T6 AWD R-Design";B;A6;2010;2013
56916;"XC60 D3 DRIVe Kinetic";D;H6;2010;2011
56917;"XC60 D3 DRIVe Momentum";D;H6;2010;2011
56917;"XC60 D3 DRIVe Momentum";D;H6;2010;2011
56918;"XC60 D3 DRIVe Summum";D;H6;2010;2011
56919;"XC60 D3 DRIVe R-Design";D;H6;2010;2011
61068;"XC60 D3 DRIVe Kinetic";D;H6;2011;2012
61068;"XC60 D3 DRIVe Kinetic";D;H6;2011;2012
61668;"XC60 D3 DRIVe Ocean Race";D;H6;2011;2012
61069;"XC60 D3 DRIVe Momentum";D;H6;2011;2012
61070;"XC60 D3 DRIVe Summum";D;H6;2011;2012
61070;"XC60 D3 DRIVe Summum";D;H6;2011;2012
61071;"XC60 D3 DRIVe R-Design";D;H6;2011;2012
56920;"XC60 D3 Kinetic";D;A6;2010;2012
61669;"XC60 D3 Ocean Race";D;A6;2011;2012
61669;"XC60 D3 Ocean Race";D;A6;2011;2012
56921;"XC60 D3 Momentum";D;A6;2010;2012
56922;"XC60 D3 Summum";D;A6;2010;2012
56923;"XC60 D3 R-Design";D;A6;2010;2012
56923;"XC60 D3 R-Design";D;A6;2010;2012
69588;"XC60 D3 Kinetic";D;H6;2012;2013
69589;"XC60 D3 Kinetic";D;A6;2012;2013
71665;"XC60 D3 Kinetic";D;A6;2013;2013
71665;"XC60 D3 Kinetic";D;A6;2013;2013
69590;"XC60 D3 Ocean Race";D;H6;2012;2013
69591;"XC60 D3 Ocean Race";D;A6;2012;2013
69592;"XC60 D3 Momentum";D;H6;2012;2013
69592;"XC60 D3 Momentum";D;H6;2012;2013
69593;"XC60 D3 Momentum";D;A6;2012;2013
71666;"XC60 D3 Momentum";D;A6;2013;2013
69594;"XC60 D3 Summum";D;H6;2012;2013
69594;"XC60 D3 Summum";D;H6;2012;2013
69595;"XC60 D3 Summum";D;A6;2012;2013
71667;"XC60 D3 Summum";D;A6;2013;2013
69596;"XC60 D3 R-Design";D;H6;2012;2013
69596;"XC60 D3 R-Design";D;H6;2012;2013
69597;"XC60 D3 R-Design";D;A6;2012;2013
71668;"XC60 D3 R-Design";D;A6;2013;2013
68392;"XC60 D4 Kinetic";D;H6;2012;2013
68392;"XC60 D4 Kinetic";D;H6;2012;2013
68397;"XC60 D4 Kinetic";D;A6;2012;2013
71669;"XC60 D4 Kinetic";D;A6;2013;2013
68393;"XC60 D4 Ocean Race";D;H6;2012;2013
68393;"XC60 D4 Ocean Race";D;H6;2012;2013
68398;"XC60 D4 Ocean Race";D;A6;2012;2013
68394;"XC60 D4 Momentum";D;H6;2012;2013
68399;"XC60 D4 Momentum";D;A6;2012;2013
68399;"XC60 D4 Momentum";D;A6;2012;2013
71670;"XC60 D4 Momentum";D;A6;2013;2013
68395;"XC60 D4 Summum";D;H6;2012;2013
68400;"XC60 D4 Summum";D;A6;2012;2013
68400;"XC60 D4 Summum";D;A6;2012;2013
71671;"XC60 D4 Summum";D;A6;2013;2013
68396;"XC60 D4 R-Design";D;H6;2012;2013
68401;"XC60 D4 R-Design";D;A6;2012;2013
68401;"XC60 D4 R-Design";D;A6;2012;2013
71672;"XC60 D4 R-Design";D;A6;2013;2013
48753;"XC60 2.4D AWD";D;H6;2008;2009
48755;"XC60 2.4D AWD";D;A6;2008;2009
48755;"XC60 2.4D AWD";D;A6;2008;2009
48760;"XC60 2.4D AWD Kinetic";D;H6;2008;2009
48759;"XC60 2.4D AWD Kinetic";D;A6;2008;2009
48764;"XC60 2.4D AWD Momentum";D;H6;2008;2009
48764;"XC60 2.4D AWD Momentum";D;H6;2008;2009
48763;"XC60 2.4D AWD Momentum";D;A6;2008;2009
48769;"XC60 2.4D AWD Summum";D;H6;2008;2009
48768;"XC60 2.4D AWD Summum";D;A6;2008;2009
48768;"XC60 2.4D AWD Summum";D;A6;2008;2009
52537;"XC60 2.4D DRIVe";D;H6;2009;2010
52539;"XC60 2.4D DRIVe Kinetic";D;H6;2009;2010
52541;"XC60 2.4D DRIVe Momentum";D;H6;2009;2010
52541;"XC60 2.4D DRIVe Momentum";D;H6;2009;2010
52543;"XC60 2.4D DRIVe Summum";D;H6;2009;2010
54994;"XC60 2.4D DRIVe R-Design";D;H6;2009;2010
52538;"XC60 2.4D";D;A6;2009;2010
52538;"XC60 2.4D";D;A6;2009;2010
52540;"XC60 2.4D Kinetic";D;A6;2009;2010
52542;"XC60 2.4D Momentum";D;A6;2009;2010
52544;"XC60 2.4D Summum";D;A6;2009;2010
52544;"XC60 2.4D Summum";D;A6;2009;2010
54995;"XC60 2.4D R-Design";D;A6;2009;2010
48757;"XC60 D5 AWD";D;H6;2008;2009
48756;"XC60 D5 AWD";D;A6;2008;2009
48756;"XC60 D5 AWD";D;A6;2008;2009
48762;"XC60 D5 AWD Kinetic";D;H6;2008;2009
48761;"XC60 D5 AWD Kinetic";D;A6;2008;2009
48766;"XC60 D5 AWD Momentum";D;H6;2008;2009
48766;"XC60 D5 AWD Momentum";D;H6;2008;2009
48765;"XC60 D5 AWD Momentum";D;A6;2008;2009
48771;"XC60 D5 AWD Summum";D;H6;2008;2009
48770;"XC60 D5 AWD Summum";D;A6;2008;2009
48770;"XC60 D5 AWD Summum";D;A6;2008;2009
52545;"XC60 D5 AWD";D;H6;2009;2010
52546;"XC60 D5 AWD";D;A6;2009;2010
52547;"XC60 D5 AWD Kinetic";D;H6;2009;2011
52547;"XC60 D5 AWD Kinetic";D;H6;2009;2011
52548;"XC60 D5 AWD Kinetic";D;A6;2009;2011
52549;"XC60 D5 AWD Momentum";D;H6;2009;2011
52550;"XC60 D5 AWD Momentum";D;A6;2009;2011
52550;"XC60 D5 AWD Momentum";D;A6;2009;2011
52551;"XC60 D5 AWD Summum";D;H6;2009;2011
52552;"XC60 D5 AWD Summum";D;A6;2009;2011
54996;"XC60 D5 AWD R-Design";D;H6;2009;2011
54996;"XC60 D5 AWD R-Design";D;H6;2009;2011
54997;"XC60 D5 AWD R-Design";D;A6;2009;2011
61072;"XC60 D5 AWD Kinetic";D;H6;2011;2013
71673;"XC60 D5 AWD Kinetic";D;H6;2013;2013
71673;"XC60 D5 AWD Kinetic";D;H6;2013;2013
61073;"XC60 D5 AWD Kinetic";D;A6;2011;2013
61670;"XC60 D5 AWD Ocean Race";D;H6;2011;2013
61671;"XC60 D5 AWD Ocean Race";D;A6;2011;2013
61671;"XC60 D5 AWD Ocean Race";D;A6;2011;2013
61074;"XC60 D5 AWD Momentum";D;H6;2011;2013
71674;"XC60 D5 AWD Momentum";D;H6;2013;2013
61075;"XC60 D5 AWD Momentum";D;A6;2011;2013
61075;"XC60 D5 AWD Momentum";D;A6;2011;2013
61076;"XC60 D5 AWD Summum";D;H6;2011;2013
71675;"XC60 D5 AWD Summum";D;H6;2013;2013
61077;"XC60 D5 AWD Summum";D;A6;2011;2013
61077;"XC60 D5 AWD Summum";D;A6;2011;2013
61078;"XC60 D5 AWD R-Design";D;H6;2011;2013
71676;"XC60 D5 AWD R-Design";D;H6;2013;2013
61079;"XC60 D5 AWD R-Design";D;A6;2011;2013
61079;"XC60 D5 AWD R-Design";D;A6;2011;2013
