id;pikk_mudel;kytus;kaigukast;alates;kuni
75026;"XC70 T5 Kinetic";B;A8;2013;heden
75730;"XC70 T5 Nordic+";B;A8;2014;heden
75027;"XC70 T5 Momentum";B;A8;2013;heden
75027;"XC70 T5 Momentum";B;A8;2013;heden
75028;"XC70 T5 Summum";B;A8;2013;heden
72809;"XC70 T6 AWD Momentum";B;A6;2013;heden
72811;"XC70 T6 AWD Summum";B;A6;2013;heden
72811;"XC70 T6 AWD Summum";B;A6;2013;heden
72817;"XC70 D4 Kinetic";D;H6;2013;2013
72816;"XC70 D4 Kinetic";D;A6;2013;2013
72815;"XC70 D4 Momentum";D;H6;2013;2013
72815;"XC70 D4 Momentum";D;H6;2013;2013
72814;"XC70 D4 Momentum";D;A6;2013;2013
73405;"XC70 D4 Nordic";D;H6;2013;2014
73406;"XC70 D4 Nordic";D;A6;2013;2014
73406;"XC70 D4 Nordic";D;A6;2013;2014
72813;"XC70 D4 Summum";D;H6;2013;2013
72812;"XC70 D4 Summum";D;A6;2013;2013
75020;"XC70 D4 Kinetic";D;H6;2013;heden
75020;"XC70 D4 Kinetic";D;H6;2013;heden
75021;"XC70 D4 Kinetic";D;A8;2013;heden
75731;"XC70 D4 Nordic+";D;H6;2014;heden
75732;"XC70 D4 Nordic+";D;A8;2014;heden
75732;"XC70 D4 Nordic+";D;A8;2014;heden
75022;"XC70 D4 Momentum";D;H6;2013;heden
75023;"XC70 D4 Momentum";D;A8;2013;heden
75024;"XC70 D4 Summum";D;H6;2013;heden
75024;"XC70 D4 Summum";D;H6;2013;heden
75025;"XC70 D4 Summum";D;A8;2013;heden
72823;"XC70 D5 AWD Kinetic";D;H6;2013;heden
72822;"XC70 D5 AWD Kinetic";D;A6;2013;heden
72822;"XC70 D5 AWD Kinetic";D;A6;2013;heden
72821;"XC70 D5 AWD Momentum";D;H6;2013;heden
72820;"XC70 D5 AWD Momentum";D;A6;2013;heden
73407;"XC70 D5 AWD Nordic+";D;H6;2013;heden
73407;"XC70 D5 AWD Nordic+";D;H6;2013;heden
73408;"XC70 D5 AWD Nordic+";D;A6;2013;heden
72819;"XC70 D5 AWD Summum";D;H6;2013;heden
72818;"XC70 D5 AWD Summum";D;A6;2013;heden
72818;"XC70 D5 AWD Summum";D;A6;2013;heden
