id;Mark
84;Abarth
1;Alfa Romeo
2;Asia Motors
3;Aston Martin
4;Audi
5;Austin
6;Autobianchi
7;Bentley
8;BMW
88;Bugatti
9;Buick
10;Cadillac
82;Carver
11;Chevrolet
12;Chrysler
13;Citroen
14;Corvette
15;Dacia
16;Daewoo
17;Daihatsu
18;Daimler
19;Datsun
20;Dodge
21;Donkervoort
22;Ferrari
23;Fiat
85;Fisker
24;Ford
26;FSO
27;Galloper
28;Honda
29;Hummer
30;Hyundai
83;Infiniti
31;Innocenti
89;Iveco
32;Jaguar
33;Jeep
35;Josse
36;Kia
37;Lada
38;Lamborghini
39;Lancia
40;Land Rover
34;Landwind
41;Lexus
42;Lincoln
43;Lotus
44;Marcos
45;Maserati
46;Maybach
47;Mazda
48;Mega
49;Mercedes-Benz
50;Mercury
51;MG
52;Mini
53;Mitsubishi
54;Morgan
55;Morris
56;Nissan
57;Noble
58;Opel
59;Peugeot
60;PGO
61;Pontiac
62;Porsche
63;Princess
64;Renault
65;Rolls-Royce
66;Rover
67;Saab
68;Seat
69;Skoda
70;Smart
71;Spectre
72;Ssangyong
73;Subaru
74;Suzuki
75;Talbot
86;Tesla
87;Think
76;Toyota
77;Triumph
78;TVR
79;Volkswagen
80;Volvo
81;Yugo
