mark;mudel;link
Alfa Romeo;159;/auto-testid/alfa romeo/159-sedaan/kokkuvote/2/
Alfa Romeo;159;/auto-testid/alfa romeo/159-sportwagon/kokkuvote/3/
Alfa Romeo;Giulietta;/auto-testid/alfa romeo/giulietta/kokkuvote/1954/
Alfa Romeo;MiTo;/auto-testid/alfa romeo/mito/kokkuvote/1859/
Audi;A1;/auto-testid/audi/a1/kokkuvote/1955/
Audi;A1;/auto-testid/audi/a1-sportback/kokkuvote/2064/
Audi;A3;/auto-testid/audi/a3/kokkuvote/2096/
Audi;A3;/auto-testid/audi/a3-sedaan/kokkuvote/2160/
Audi;A3;/auto-testid/audi/a3-sportback/kokkuvote/2142/
Audi;A4;/auto-testid/audi/a4-sedaan/kokkuvote/17/
Audi;A5;/auto-testid/audi/a5-sportback/kokkuvote/1908/
Audi;A6;/auto-testid/audi/a6-allroad/kokkuvote/2097/
Audi;A6;/auto-testid/audi/a6-avant/kokkuvote/2051/
Audi;A6;/auto-testid/audi/a6-sedaan/kokkuvote/2012/
Audi;A8;/auto-testid/audi/a8/kokkuvote/1947/
Audi;Q3;/auto-testid/audi/q3/kokkuvote/2061/
Audi;Q5;/auto-testid/audi/q5/kokkuvote/426/
Audi;Q7;/auto-testid/audi/q7/kokkuvote/23/
Audi;R8;/auto-testid/audi/r8-coupe/kokkuvote/24/
Audi;TT;/auto-testid/audi/tt/kokkuvote/25/
BMW;1;/auto-testid/bmw/1.-seeria-(i)/kokkuvote/34/
BMW;1;/auto-testid/bmw/1.-seeria-(i)-coupé/kokkuvote/33/
BMW;1;/auto-testid/bmw/1.-seeria-(ii)-luukpära/kokkuvote/2040/
BMW;3;/auto-testid/bmw/3.-seeria-sedaan/kokkuvote/2062/
BMW;3;/auto-testid/bmw/3.-seeria-sedaan--2012/kokkuvote/37/
BMW;3;/auto-testid/bmw/3.-seeria-touring/kokkuvote/38/
BMW;4;/auto-testid/bmw/4.-seeria-kupee/kokkuvote/2162/
BMW;5;/auto-testid/bmw/5.-seeria-gran-turismo/kokkuvote/1914/
BMW;5;/auto-testid/bmw/5.-seeria-sedaan/kokkuvote/1945/
BMW;5;/auto-testid/bmw/5.-seeria-touring/kokkuvote/1958/
BMW;6;/auto-testid/bmw/6.-seeria-kabriolett/kokkuvote/2013/
BMW;6;/auto-testid/bmw/6.-seeria-kupee/kokkuvote/2052/
BMW;7;/auto-testid/bmw/7.-seeria/kokkuvote/1830/
BMW;X1;/auto-testid/bmw/x1/kokkuvote/1920/
BMW;X3;/auto-testid/bmw/x3/kokkuvote/2000/
BMW;X5;/auto-testid/bmw/x5/kokkuvote/2181/
BMW;Z4;/auto-testid/bmw/z4/kokkuvote/1872/
Cadillac;Escalade;/auto-testid/cadillac/escalade/kokkuvote/52/
Chevrolet;Aveo;/auto-testid/chevrolet/aveo/kokkuvote/415/
Chevrolet;Captiva;/auto-testid/chevrolet/captiva/kokkuvote/56/
Chevrolet;Cruze;/auto-testid/chevrolet/cruze-luukpära/kokkuvote/2041/
Chevrolet;Cruze;/auto-testid/chevrolet/cruze-sedaan/kokkuvote/1901/
Chevrolet;Orlando;/auto-testid/chevrolet/orlando/kokkuvote/2007/
Chevrolet;Spark;/auto-testid/chevrolet/spark/kokkuvote/1935/
Chevrolet;Trax;/auto-testid/chevrolet/trax/kokkuvote/2157/
Citroen;Berlingo;/auto-testid/citroën/berlingo/kokkuvote/431/
Citroen;C1;/auto-testid/citroën/c1/kokkuvote/72/
Citroen;C3;/auto-testid/citroën/c3/kokkuvote/1926/
Citroen;C4;/auto-testid/citroën/c4/kokkuvote/1988/
Citroen;C4 Grand Picasso;/auto-testid/citroën/c4-grand-picasso/kokkuvote/85/
Citroen;C4 Picasso;/auto-testid/citroën/c4-picasso/kokkuvote/2163/
Citroen;C5;/auto-testid/citroën/c5-sedaan/kokkuvote/81/
Citroen;DS3;/auto-testid/citroën/ds3/kokkuvote/1950/
Citroen;DS4;/auto-testid/citroën/ds4/kokkuvote/2029/
Citroen;Nemo;/auto-testid/citroën/nemo-multispace/kokkuvote/1890/
Ferrari;458;/auto-testid/ferrari/458-italia/kokkuvote/1934/
Ferrari;458;/auto-testid/ferrari/458-spider/kokkuvote/2054/
Ferrari;California;/auto-testid/ferrari/california/kokkuvote/1848/
Ferrari;FF;/auto-testid/ferrari/ff/kokkuvote/2030/
Fiat;500;/auto-testid/fiat/500/kokkuvote/99/
Fiat;Bravo;/auto-testid/fiat/bravo/kokkuvote/100/
Fiat;Panda;/auto-testid/fiat/panda/kokkuvote/2072/
Fiat;Panda;/auto-testid/fiat/panda-(04-12)/kokkuvote/104/
Fiat;Punto;/auto-testid/fiat/punto-evo/kokkuvote/1951/
Ford;C-MAX;/auto-testid/ford/c-max/kokkuvote/1991/
Ford;Fiesta;/auto-testid/ford/fiesta/kokkuvote/1825/
Ford;Focus;/auto-testid/ford/focus-luukpära/kokkuvote/2008/
Ford;Focus;/auto-testid/ford/focus-universaal/kokkuvote/2035/
Ford;Grand C-MAX;/auto-testid/ford/grand-c-max/kokkuvote/1992/
Ford;Ka;/auto-testid/ford/ka/kokkuvote/1844/
Ford;Kuga;/auto-testid/ford/kuga/kokkuvote/2150/
Ford;Mondeo;/auto-testid/ford/mondeo/kokkuvote/116/
Ford;S-MAX;/auto-testid/ford/s-max/kokkuvote/119/
Honda;Accord;/auto-testid/honda/accord-sedaan/kokkuvote/391/
Honda;Accord;/auto-testid/honda/accord-tourer/kokkuvote/392/
Honda;Civic;/auto-testid/honda/civic--2011/kokkuvote/120/
Honda;Civic;/auto-testid/honda/civic-2012/kokkuvote/2059/
Honda;CR-V;/auto-testid/honda/cr-v/kokkuvote/2111/
Honda;CR-Z;/auto-testid/honda/cr-z/kokkuvote/1959/
Honda;Jazz;/auto-testid/honda/jazz/kokkuvote/2025/
Hyundai;i20;/auto-testid/hyundai/i20/kokkuvote/1865/
Hyundai;i30;/auto-testid/hyundai/i30/kokkuvote/2073/
Hyundai;i30;/auto-testid/hyundai/i30-(i)-universaal/kokkuvote/400/
Hyundai;i40;/auto-testid/hyundai/i40-sedaan/kokkuvote/2078/
Hyundai;i40;/auto-testid/hyundai/i40-universaal/kokkuvote/2042/
Hyundai;ix20;/auto-testid/hyundai/ix20/kokkuvote/1993/
Hyundai;iX35;/auto-testid/hyundai/ix35/kokkuvote/1940/
Hyundai;Santa Fe;/auto-testid/hyundai/santa-fe/kokkuvote/2133/
Hyundai;Veloster;/auto-testid/hyundai/veloster/kokkuvote/2082/
Jaguar;XF;/auto-testid/jaguar/xf/kokkuvote/141/
Jaguar;XJ;/auto-testid/jaguar/xj/kokkuvote/1960/
Jaguar;XK;/auto-testid/jaguar/xk-coupé/kokkuvote/144/
Jaguar;XK;/auto-testid/jaguar/xk-kabriolett/kokkuvote/143/
Jeep;Compass;/auto-testid/jeep/compass/kokkuvote/2024/
Jeep;Wrangler;/auto-testid/jeep/wrangler/kokkuvote/153/
KIA;Carens;/auto-testid/kia/carens/kokkuvote/2164/
KIA;Cee´d;/auto-testid/kia/cee´d/kokkuvote/2114/
KIA;Optima sedaan;/auto-testid/kia/optima-sedaan/kokkuvote/2079/
KIA;Picanto;/auto-testid/kia/picanto/kokkuvote/2031/
KIA;Pro_cee´d;/auto-testid/kia/pro_cee´d/kokkuvote/2165/
KIA;Rio;/auto-testid/kia/rio/kokkuvote/2043/
KIA;Sorento;/auto-testid/kia/sorento/kokkuvote/2166/
KIA;Sportage;/auto-testid/kia/sportage/kokkuvote/1981/
KIA;Venga;/auto-testid/kia/venga/kokkuvote/1938/
Lamborghini;Murciélago Coupé;/auto-testid/lamborghini/murciélago-coupé/kokkuvote/432/
Land Rover;Discovery;/auto-testid/land rover/discovery/kokkuvote/163/
Land Rover;Freelander;/auto-testid/land rover/freelander/kokkuvote/164/
Land Rover;Range Rover;/auto-testid/land rover/range-rover/kokkuvote/1907/
